#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2686098,60335970,2,I5J39_gp02,SEA_MEGIDDO_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2686098,60335971,3,I5J39_gp03,SEA_MEGIDDO_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210123,-
2686098,60335972,4,I5J39_gp04,SEA_MEGIDDO_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210403,-
2686098,60335973,5,I5J39_gp05,SEA_MEGIDDO_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210403,-
2686098,60335974,6,I5J39_gp06,SEA_MEGIDDO_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201130,-
2686098,60335975,7,I5J39_gp07,SEA_MEGIDDO_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2686098,60335976,8,I5J39_gp08,SEA_MEGIDDO_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210123,-
2686098,60335977,9,I5J39_gp09,SEA_MEGIDDO_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201130,-
2686098,60335978,10,I5J39_gp10,SEA_MEGIDDO_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
2686098,60335979,11,I5J39_gp11,SEA_MEGIDDO_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2686098,60335980,12,I5J39_gp12,SEA_MEGIDDO_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2686098,60335981,13,I5J39_gp13,SEA_MEGIDDO_13,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201130,-
2686098,60335982,14,I5J39_gp14,SEA_MEGIDDO_14,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201130,-
2686098,60335983,16,I5J39_gp15,SEA_MEGIDDO_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201130,-
2686098,60335984,17,I5J39_gp17,SEA_MEGIDDO_17,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210313,-
2686098,60335985,15,I5J39_gp16,SEA_MEGIDDO_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201130,-
2686098,60335986,18,I5J39_gp18,SEA_MEGIDDO_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2686098,60335987,19,I5J39_gp19,SEA_MEGIDDO_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2686098,60335988,20,I5J39_gp20,SEA_MEGIDDO_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2686098,60335989,21,I5J39_gp21,SEA_MEGIDDO_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2686098,60335990,22,I5J39_gp22,SEA_MEGIDDO_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201130,-
2686098,60335991,23,I5J39_gp23,SEA_MEGIDDO_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2686098,60335992,24,I5J39_gp24,SEA_MEGIDDO_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2686098,60335993,25,I5J39_gp25,SEA_MEGIDDO_25,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201130,-
2686098,60335994,26,I5J39_gp26,SEA_MEGIDDO_26,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210313,-
2686098,60335995,27,I5J39_gp27,SEA_MEGIDDO_27,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201130,-
2686098,60335996,28,I5J39_gp28,SEA_MEGIDDO_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2686098,60335997,29,I5J39_gp29,SEA_MEGIDDO_29,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210123,-
2686098,60335998,30,I5J39_gp30,SEA_MEGIDDO_30,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20210403,-
2686098,60335999,31,I5J39_gp31,SEA_MEGIDDO_31,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210123,-
2686098,60336000,32,I5J39_gp32,SEA_MEGIDDO_32,-,-,-,excise,protein-coding,-,-,-,excise,20210116,-
2686098,60336001,33,I5J39_gp33,SEA_MEGIDDO_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2686098,60336002,34,I5J39_gp34,SEA_MEGIDDO_34,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210313,-
2686098,60336003,35,I5J39_gp35,SEA_MEGIDDO_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2686098,60336004,36,I5J39_gp36,SEA_MEGIDDO_36,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201130,-
2686098,60336005,37,I5J39_gp37,SEA_MEGIDDO_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2686098,60336006,38,I5J39_gp38,SEA_MEGIDDO_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
2686098,60336007,39,I5J39_gp39,SEA_MEGIDDO_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2686098,60336008,40,I5J39_gp40,SEA_MEGIDDO_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2686098,60336009,41,I5J39_gp41,SEA_MEGIDDO_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
2686098,60336010,42,I5J39_gp42,SEA_MEGIDDO_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201130,-
