#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1051140,18564665,2,CL80_gp02,EUPHORIA_2,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1051140,18564666,3,CL80_gp03,EUPHORIA_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564667,4,CL80_gp04,EUPHORIA_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564668,5,CL80_gp05,EUPHORIA_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564669,6,CL80_gp06,EUPHORIA_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564670,7,CL80_gp07,EUPHORIA_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564671,8,CL80_gp08,EUPHORIA_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564672,9,CL80_gp09,EUPHORIA_9,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210123,-
1051140,18564673,10,CL80_gp10,EUPHORIA_10,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20200927,-
1051140,18564674,11,CL80_gp11,EUPHORIA_11,-,-,-,terminase,protein-coding,-,-,-,terminase,20200927,-
1051140,18564675,12,CL80_gp12,EUPHORIA_12,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
1051140,18564676,13,CL80_gp13,EUPHORIA_13,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200927,-
1051140,18564677,14,CL80_gp14,EUPHORIA_14,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200927,-
1051140,18564678,15,CL80_gp15,EUPHORIA_15,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200927,-
1051140,18564679,16,CL80_gp16,EUPHORIA_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564680,17,CL80_gp17,EUPHORIA_17,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200927,-
1051140,18564681,18,CL80_gp18,EUPHORIA_18,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200927,-
1051140,18564682,19,CL80_gp19,EUPHORIA_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564683,20,CL80_gp20,EUPHORIA_20,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20200927,-
1051140,18564684,21,CL80_gp21,EUPHORIA_21,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1051140,18564685,23,CL80_gp22,EUPHORIA_23,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1051140,18564686,24,CL80_gp24,EUPHORIA_24,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1051140,18564687,22,CL80_gp23,EUPHORIA_22,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210406,-
1051140,18564688,25,CL80_gp25,EUPHORIA_25,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20200927,-
1051140,18564689,26,CL80_gp26,EUPHORIA_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564690,27,CL80_gp27,EUPHORIA_27,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20200927,-
1051140,18564691,28,CL80_gp28,EUPHORIA_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564692,29,CL80_gp29,EUPHORIA_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564693,30,CL80_gp30,EUPHORIA_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1051140,18564694,31,CL80_gp31,EUPHORIA_31,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20200927,-
1051140,18564695,32,CL80_gp32,EUPHORIA_32,-,-,-,D-Ala-D-Ala carboxypeptidase,protein-coding,-,-,-,D-Ala-D-Ala carboxypeptidase,20200927,-
1051140,18564696,33,CL80_gp33,EUPHORIA_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564697,34,CL80_gp34,EUPHORIA_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564698,35,CL80_gp35,EUPHORIA_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564699,36,CL80_gp36,EUPHORIA_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564700,37,CL80_gp37,EUPHORIA_37,-,-,-,integrase,protein-coding,-,-,-,integrase,20200927,-
1051140,18564701,38,CL80_gp38,EUPHORIA_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564702,95,CL80_gp94,EUPHORIA_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564703,94,CL80_gp93,EUPHORIA_94,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564704,93,CL80_gp92,EUPHORIA_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564705,92,CL80_gp91,EUPHORIA_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564706,91,CL80_gp90,EUPHORIA_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564707,90,CL80_gp89,EUPHORIA_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564708,89,CL80_gp88,EUPHORIA_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564709,88,CL80_gp87,EUPHORIA_88,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20200927,-
1051140,18564710,86,CL80_gp86,EUPHORIA_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564711,85,CL80_gp85,EUPHORIA_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564712,84,CL80_gp84,EUPHORIA_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564713,83,CL80_gp83,EUPHORIA_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564714,82,CL80_gp82,EUPHORIA_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564715,81,CL80_gp81,EUPHORIA_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564716,80,CL80_gp80,EUPHORIA_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564717,79,CL80_gp79,EUPHORIA_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1051140,18564718,78,CL80_gp78,EUPHORIA_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
