#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1056830,18564969,2,CL81_gp02,CHARLIE_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1056830,18564970,3,CL81_gp03,CHARLIE_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1056830,18564971,4,CL81_gp04,CHARLIE_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
1056830,18564972,5,CL81_gp05,CHARLIE_5,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20200927,-
1056830,18564973,6,CL81_gp06,CHARLIE_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210424,-
1056830,18564974,7,CL81_gp07,CHARLIE_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1056830,18564975,8,CL81_gp08,CHARLIE_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1056830,18564976,9,CL81_gp09,CHARLIE_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20200927,-
1056830,18564977,10,CL81_gp10,CHARLIE_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1056830,18564978,11,CL81_gp11,CHARLIE_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1056830,18564979,12,CL81_gp12,CHARLIE_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1056830,18564980,13,CL81_gp13,CHARLIE_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1056830,18564981,14,CL81_gp14,CHARLIE_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1056830,18564982,15,CL81_gp15,CHARLIE_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1056830,18564983,16,CL81_gp16,CHARLIE_16,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1056830,18564984,17,CL81_gp17,CHARLIE_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1056830,18564985,18,CL81_gp18,CHARLIE_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1056830,18564986,19,CL81_gp19,CHARLIE_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1056830,18564987,20,CL81_gp20,CHARLIE_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1056830,18564988,21,CL81_gp21,CHARLIE_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1056830,18564989,22,CL81_gp22,CHARLIE_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1056830,18564990,23,CL81_gp23,CHARLIE_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1056830,18564991,24,CL81_gp24,CHARLIE_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1056830,18564992,25,CL81_gp25,CHARLIE_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1056830,18564993,26,CL81_gp26,CHARLIE_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1056830,18564994,27,CL81_gp27,CHARLIE_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
1056830,18564995,28,CL81_gp28,CHARLIE_28,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20200927,-
1056830,18564996,29,CL81_gp29,CHARLIE_29,-,-,-,holin,protein-coding,-,-,-,holin,20200927,-
1056830,18564997,30,CL81_gp30,CHARLIE_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1056830,18564998,31,CL81_gp31,CHARLIE_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1056830,18564999,32,CL81_gp32,CHARLIE_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1056830,18565000,33,CL81_gp33,CHARLIE_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1056830,18565001,34,CL81_gp34,CHARLIE_34,-,-,-,tyrosine integrase,protein-coding,-,-,-,tyrosine integrase,20200927,-
1056830,18565002,35,CL81_gp35,CHARLIE_35,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20200927,-
1056830,18565003,36,CL81_gp36,CHARLIE_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1056830,18565004,37,CL81_gp37,CHARLIE_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1056830,18565005,38,CL81_gp38,CHARLIE_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1056830,18565006,39,CL81_gp39,CHARLIE_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1056830,18565007,40,CL81_gp40,CHARLIE_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1056830,18565008,41,CL81_gp41,CHARLIE_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1056830,18565009,42,CL81_gp42,CHARLIE_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1056830,18565010,43,CL81_gp43,CHARLIE_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1056830,18565011,44,CL81_gp44,CHARLIE_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1056830,18565012,45,CL81_gp45,CHARLIE_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1056830,18565013,46,CL81_gp46,CHARLIE_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1056830,18565014,47,CL81_gp47,CHARLIE_47,-,-,-,RecE-like exonuclease,protein-coding,-,-,-,RecE-like exonuclease,20200927,-
