#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1965489,65071994,KMD25_gp02,KMD25_gp02,-,-,-,-,osmosensitive K+ channel histidine kinase,protein-coding,-,-,-,osmosensitive K+ channel histidine kinase,20210609,-
1965489,65071995,KMD25_gp03,KMD25_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210609,-
1965489,65071996,KMD25_gp04,KMD25_gp04,-,-,-,-,putative repressor,protein-coding,-,-,-,putative repressor,20210607,-
1965489,65071997,KMD25_gp05,KMD25_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1965489,65071998,KMD25_gp06,KMD25_gp06,-,-,-,-,antirepressor protein,protein-coding,-,-,-,antirepressor protein,20210609,-
1965489,65071999,KMD25_gp07,KMD25_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1965489,65072000,KMD25_gp08,KMD25_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1965489,65072001,KMD25_gp09,KMD25_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1965489,65072002,KMD25_gp10,KMD25_gp10,-,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20210607,-
1965489,65072003,KMD25_gp11,KMD25_gp11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1965489,65072004,KMD25_gp12,KMD25_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1965489,65072005,KMD25_gp13,KMD25_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1965489,65072006,KMD25_gp14,KMD25_gp14,-,-,-,-,pathogenesis-related transcriptional factor,protein-coding,-,-,-,pathogenesis-related transcriptional factor,20210607,-
1965489,65072007,KMD25_gp15,KMD25_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1965489,65072008,KMD25_gp16,KMD25_gp16,-,-,-,-,DNA replication protein,protein-coding,-,-,-,DNA replication protein,20210607,-
1965489,65072009,KMD25_gp17,KMD25_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
