#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
262071,4955149,phiC2p45,phiC2p45,-,-,-,-,putative transcriptional regulator,protein-coding,-,-,-,putative transcriptional regulator,20201220,-
262071,4955150,phiC2p35,phiC2p35,-,-,-,-,hemolysin XhlA family protein,protein-coding,-,-,-,hemolysin XhlA family protein,20210129,-
262071,4955151,phiC2p71,phiC2p71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262071,4955152,phiC2p34,phiC2p34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262071,4955153,phiC2p54,phiC2p54,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262071,4955154,phiC2p41,phiC2p41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
262071,4955155,phiC2p84,phiC2p84,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262071,4955156,phiC2p47,phiC2p47,-,-,-,-,putative integrase,protein-coding,-,-,-,putative integrase,20201220,-
262071,4955157,phiC2p21,phiC2p21,-,-,-,-,LysM peptidoglycan-binding domain-containing protein,protein-coding,-,-,-,LysM peptidoglycan-binding domain-containing protein,20201220,-
262071,4955158,phiC2p17,phiC2p17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262071,4955159,phiC2p10,phiC2p10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262071,4955160,phiC2p13,phiC2p13,-,-,-,-,tail sheath subtilisin-like domain-containing protein,protein-coding,-,-,-,tail sheath subtilisin-like domain-containing protein,20201220,-
262071,4955161,phiC2p15,phiC2p15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262071,4955162,phiC2p27,phiC2p27,-,-,-,-,putative tail fiber protein,protein-coding,-,-,-,putative tail fiber protein,20201220,-
262071,4955163,phiC2p30,phiC2p30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262071,4955164,phiC2p18,phiC2p18,-,-,-,-,DUF4352 domain-containing protein,protein-coding,-,-,-,DUF4352 domain-containing protein,20210129,-
262071,4955165,phiC2p55,phiC2p55,-,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20201220,-
262071,4955166,phiC2p80,phiC2p80,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262071,4955167,phiC2p08,phiC2p08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262071,4955168,phiC2p46,phiC2p46,-,-,-,-,BlaI/MecI/CopY family transcriptional regulator,protein-coding,-,-,-,BlaI/MecI/CopY family transcriptional regulator,20210424,-
262071,4955169,phiC2p70,phiC2p70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262071,4955170,phiC2p73,phiC2p73,-,-,-,-,putative cytosine-C5 specific DNA methylase,protein-coding,-,-,-,putative cytosine-C5 specific DNA methylase,20201220,-
262071,4955171,phiC2p20,phiC2p20,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201220,-
262071,4955172,phiC2p40,phiC2p40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210129,-
262071,4955173,phiC2p23,phiC2p23,-,-,-,-,DUF2577 domain-containing protein,protein-coding,-,-,-,DUF2577 domain-containing protein,20210424,-
262071,4955174,phiC2p36,phiC2p36,-,-,-,-,holin family protein,protein-coding,-,-,-,holin family protein,20210129,-
262071,4955175,phiC2p43,phiC2p43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262071,4955176,phiC2p32,phiC2p32,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262071,4955177,phiC2p72,phiC2p72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262071,4955178,phiC2p25,phiC2p25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262071,4955179,phiC2p37,phiC2p37,-,-,-,-,Abi family protein,protein-coding,-,-,-,Abi family protein,20210129,-
262071,4955180,phiC2p52,phiC2p52,-,-,-,-,regulatory protein,protein-coding,-,-,-,regulatory protein,20210424,-
262071,4955181,phiC2p42,phiC2p42,-,-,-,-,ImmA/IrrE family metallo-endopeptidase,protein-coding,-,-,-,ImmA/IrrE family metallo-endopeptidase,20210129,-
262071,4955182,phiC2p07,phiC2p07,-,-,-,-,capsid protein,protein-coding,-,-,-,capsid protein,20201220,-
262071,4955183,phiC2p75,phiC2p75,-,-,-,-,nucleoid-associated protein,protein-coding,-,-,-,nucleoid-associated protein,20201220,-
262071,4955184,phiC2p29,phiC2p29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262071,4955185,phiC2p58,phiC2p58,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20210424,-
262071,4955186,phiC2p26,phiC2p26,-,-,-,-,YmfQ family protein,protein-coding,-,-,-,YmfQ family protein,20201220,-
262071,4955187,phiC2p85,phiC2p85,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262071,4955188,phiC2p61,phiC2p61,-,-,-,-,Arc family DNA-binding protein,protein-coding,-,-,-,Arc family DNA-binding protein,20210129,-
262071,4955189,phiC2p39,phiC2p39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262071,4955190,phiC2p02,phiC2p02,-,-,-,-,PBSX familygterminase large subunit,protein-coding,-,-,-,PBSX familygterminase large subunit,20201220,-
262071,4955191,phiC2p19,phiC2p19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
262071,4955192,phiC2p65,phiC2p65,-,-,-,-,ERF family protein,protein-coding,-,-,-,ERF family protein,20210129,-
262071,4955193,phiC2p50,phiC2p50,-,-,-,-,helix-turn-helix transcriptional regulator,protein-coding,-,-,-,helix-turn-helix transcriptional regulator,20201220,-
262071,4955194,phiC2p22,phiC2p22,-,-,-,-,putative hydrolase,protein-coding,-,-,-,putative hydrolase,20201220,-
262071,4955195,phiC2p31,phiC2p31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
