#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2163890,65054912,KMB96_gp002,KMB96_gp002,-,-,-,-,rIIA lysis inhibitor,protein-coding,-,-,-,rIIA lysis inhibitor,20210607,-
2163890,65054913,KMB96_gp003,KMB96_gp003,-,-,-,-,rIIB lysis inhibitor,protein-coding,-,-,-,rIIB lysis inhibitor,20210607,-
2163890,65054914,KMB96_gp004,KMB96_gp004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65054915,KMB96_gp005,KMB96_gp005,-,-,-,-,endonuclease IV,protein-coding,-,-,-,endonuclease IV,20210607,-
2163890,65054916,KMB96_gp006,KMB96_gp006,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65054917,KMB96_gp007,KMB96_gp007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65054918,KMB96_gp008,KMB96_gp008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2163890,65054919,KMB96_gp009,KMB96_gp009,-,-,-,-,nuclear disruption protein,protein-coding,-,-,-,nuclear disruption protein,20210607,-
2163890,65054920,KMB96_gp010,KMB96_gp010,-,-,-,-,acridine resistance protein,protein-coding,-,-,-,acridine resistance protein,20210607,-
2163890,65054921,KMB96_gp011,KMB96_gp011,-,-,-,-,DNA topoisomerase II medium subunit,protein-coding,-,-,-,DNA topoisomerase II medium subunit,20210607,-
2163890,65054922,KMB96_gp012,KMB96_gp012,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210607,-
2163890,65054923,KMB96_gp013,KMB96_gp013,-,-,-,-,transcriptional regulator of middle promoters,protein-coding,-,-,-,transcriptional regulator of middle promoters,20210607,-
2163890,65054924,KMB96_gp014,KMB96_gp014,-,-,-,-,anti-restriction nuclease,protein-coding,-,-,-,anti-restriction nuclease,20210607,-
2163890,65054925,KMB96_gp015,KMB96_gp015,-,-,-,-,anti-restriction nuclease,protein-coding,-,-,-,anti-restriction nuclease,20210607,-
