#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
45130,19329945,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Cochliobolus sativus; Helminthosporium sorokinianum).,other,-,-,-,-,20141217,-
45130,54599933,nad1,HJF13_mgp002,-,-,MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,NADH dehydrogenase subunit 1,20210320,-
45130,54599934,orf469,HJF13_mgp003,-,-,MT,-,GIY endonuclease,protein-coding,-,-,-,GIY endonuclease,20210320,-
45130,54599935,orf329,HJF13_mgp004,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
45130,54599936,orf124,HJF13_mgp005,-,-,MT,-,GIY endonuclease,protein-coding,-,-,-,GIY endonuclease,20210320,-
45130,54599937,orf48,HJF13_mgp006,-,-,MT,-,GIY endonuclease,protein-coding,-,-,-,GIY endonuclease,20210320,-
45130,54599938,rps3,HJF13_mgp007,-,-,MT,-,ribosomal protein S3,protein-coding,-,-,-,ribosomal protein S3,20200428,-
45130,54599939,cox3,HJF13_mgp009,-,-,MT,-,cytochrome c oxidase subunit 3,protein-coding,-,-,-,cytochrome c oxidase subunit 3,20210320,-
45130,54599940,rps5,HJF13_mgp008,-,-,MT,-,ribosomal protein S5,protein-coding,-,-,-,ribosomal protein S5,20200428,-
45130,54599941,orf422,HJF13_mgp010,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
45130,54599942,orf308,HJF13_mgp011,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
45130,54599943,orf323,HJF13_mgp012,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
45130,54599944,orf480,HJF13_mgp013,-,-,MT,-,LAGLIDADG endonuclease,protein-coding,-,-,-,LAGLIDADG endonuclease,20210320,-
