#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2660688,62682745,JT355_gp02,JT355_gp02,vBPaeSS2019XI_002,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210320,-
2660688,62682746,JT355_gp03,JT355_gp03,vBPaeSS2019XI_003,-,-,-,capsid and scaffold protein,protein-coding,-,-,-,capsid and scaffold protein,20210320,-
2660688,62682747,JT355_gp04,JT355_gp04,vBPaeSS2019XI_004,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210327,-
2660688,62682748,JT355_gp05,JT355_gp05,vBPaeSS2019XI_005,-,-,-,head-tail preconnector protease,protein-coding,-,-,-,head-tail preconnector protease,20210327,-
2660688,62682749,JT355_gp06,JT355_gp06,vBPaeSS2019XI_006,-,-,-,head decoration protein,protein-coding,-,-,-,head decoration protein,20210320,-
2660688,62682750,JT355_gp07,JT355_gp07,vBPaeSS2019XI_007,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210320,-
2660688,62682751,JT355_gp08,JT355_gp08,vBPaeSS2019XI_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2660688,62682752,JT355_gp09,JT355_gp09,vBPaeSS2019XI_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2660688,62682753,JT355_gp10,JT355_gp10,vBPaeSS2019XI_010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2660688,62682754,JT355_gp11,JT355_gp11,vBPaeSS2019XI_011,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210215,-
2660688,62682755,JT355_gp12,JT355_gp12,vBPaeSS2019XI_012,-,-,-,tail length tape measure protein,protein-coding,-,-,-,tail length tape measure protein,20210215,-
2660688,62682756,JT355_gp13,JT355_gp13,vBPaeSS2019XI_013,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210215,-
2660688,62682757,JT355_gp14,JT355_gp14,vBPaeSS2019XI_014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2660688,62682758,JT355_gp15,JT355_gp15,vBPaeSS2019XI_015,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210320,-
2660688,62682759,JT355_gp16,JT355_gp16,vBPaeSS2019XI_016,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210320,-
2660688,62682760,JT355_gp17,JT355_gp17,vBPaeSS2019XI_017,-,-,-,structural potein,protein-coding,-,-,-,structural potein,20210215,-
2660688,62682761,JT355_gp18,JT355_gp18,vBPaeSS2019XI_018,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20210215,-
2660688,62682762,JT355_gp19,JT355_gp19,vBPaeSS2019XI_019,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20210320,-
2660688,62682763,JT355_gp20,JT355_gp20,vBPaeSS2019XI_020,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20210215,-
2660688,62682764,JT355_gp21,JT355_gp21,vBPaeSS2019XI_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2660688,62682765,JT355_gp22,JT355_gp22,vBPaeSS2019XI_022,-,-,-,structural potein,protein-coding,-,-,-,structural potein,20210320,-
2660688,62682766,JT355_gp23,JT355_gp23,vBPaeSS2019XI_023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2660688,62682767,JT355_gp24,JT355_gp24,vBPaeSS2019XI_024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2660688,62682768,JT355_gp25,JT355_gp25,vBPaeSS2019XI_025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2660688,62682769,JT355_gp26,JT355_gp26,vBPaeSS2019XI_026,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210215,-
2660688,62682770,JT355_gp27,JT355_gp27,vBPaeSS2019XI_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210327,-
2660688,62682771,JT355_gp28,JT355_gp28,vBPaeSS2019XI_028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2660688,62682772,JT355_gp29,JT355_gp29,vBPaeSS2019XI_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2660688,62682773,JT355_gp30,JT355_gp30,vBPaeSS2019XI_030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2660688,62682774,JT355_gp31,JT355_gp31,vBPaeSS2019XI_031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2660688,62682775,JT355_gp32,JT355_gp32,vBPaeSS2019XI_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2660688,62682776,JT355_gp33,JT355_gp33,vBPaeSS2019XI_033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2660688,62682777,JT355_gp34,JT355_gp34,vBPaeSS2019XI_034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2660688,62682778,JT355_gp35,JT355_gp35,vBPaeSS2019XI_035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2660688,62682779,JT355_gp36,JT355_gp36,vBPaeSS2019XI_036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2660688,62682780,JT355_gp37,JT355_gp37,vBPaeSS2019XI_037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2660688,62682781,JT355_gp38,JT355_gp38,vBPaeSS2019XI_038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2660688,62682782,JT355_gp39,JT355_gp39,vBPaeSS2019XI_039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2660688,62682783,JT355_gp40,JT355_gp40,vBPaeSS2019XI_040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210320,-
2660688,62682784,JT355_gp41,JT355_gp41,vBPaeSS2019XI_041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2660688,62682785,JT355_gp42,JT355_gp42,vBPaeSS2019XI_042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2660688,62682786,JT355_gp43,JT355_gp43,vBPaeSS2019XI_043,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210215,-
2660688,62682787,JT355_gp44,JT355_gp44,vBPaeSS2019XI_044,-,-,-,aldehyde dehydrogenase,protein-coding,-,-,-,aldehyde dehydrogenase,20210320,-
2660688,62682788,JT355_gp45,JT355_gp45,vBPaeSS2019XI_045,-,-,-,3'-5' exonuclease,protein-coding,-,-,-,3'-5' exonuclease,20210215,-
2660688,62682789,JT355_gp46,JT355_gp46,vBPaeSS2019XI_046,-,-,-,C-5 cytosine-specific DNA methylase,protein-coding,-,-,-,C-5 cytosine-specific DNA methylase,20210320,-
