#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1873990,29066698,BIZ90_gp002,BIZ90_gp002,Alf5_002,-,-,-,putative rIIB,protein-coding,-,-,-,putative rIIB,20200629,-
1873990,29066699,BIZ90_gp003,BIZ90_gp003,Alf5_003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066700,BIZ90_gp004,BIZ90_gp004,Alf5_004,-,-,-,putative PsET polynucleotide 5'-kinase/3'-phosphatase,protein-coding,-,-,-,putative PsET polynucleotide 5'-kinase/3'-phosphatase,20200629,-
1873990,29066701,BIZ90_gp005,BIZ90_gp005,Alf5_005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066702,BIZ90_gp006,BIZ90_gp006,Alf5_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066703,BIZ90_gp007,BIZ90_gp007,Alf5_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066704,BIZ90_gp008,BIZ90_gp008,Alf5_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066705,BIZ90_gp009,BIZ90_gp009,Alf5_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066706,BIZ90_gp010,BIZ90_gp010,Alf5_010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066707,BIZ90_gp011,BIZ90_gp011,Alf5_011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066708,BIZ90_gp012,BIZ90_gp012,Alf5_012,-,-,-,putative phosphatase,protein-coding,-,-,-,putative phosphatase,20200629,-
1873990,29066709,BIZ90_gp013,BIZ90_gp013,Alf5_013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066710,BIZ90_gp014,BIZ90_gp014,Alf5_014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066711,BIZ90_gp015,BIZ90_gp015,Alf5_015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066712,BIZ90_gp016,BIZ90_gp016,Alf5_016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066713,BIZ90_gp017,BIZ90_gp017,Alf5_017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066714,BIZ90_gp018,BIZ90_gp018,Alf5_018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066715,BIZ90_gp019,BIZ90_gp019,Alf5_019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066716,BIZ90_gp020,BIZ90_gp020,Alf5_020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066717,BIZ90_gp021,BIZ90_gp021,Alf5_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066718,BIZ90_gp022,BIZ90_gp022,Alf5_022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066719,BIZ90_gp023,BIZ90_gp023,Alf5_023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066720,BIZ90_gp024,BIZ90_gp024,Alf5_024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066721,BIZ90_gp025,BIZ90_gp025,Alf5_025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066722,BIZ90_gp026,BIZ90_gp026,Alf5_026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066723,BIZ90_gp027,BIZ90_gp027,Alf5_027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066724,BIZ90_gp028,BIZ90_gp028,Alf5_028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066725,BIZ90_gp029,BIZ90_gp029,Alf5_029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066726,BIZ90_gp030,BIZ90_gp030,Alf5_030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066727,BIZ90_gp031,BIZ90_gp031,Alf5_031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066728,BIZ90_gp032,BIZ90_gp032,Alf5_032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066729,BIZ90_gp033,BIZ90_gp033,Alf5_033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066730,BIZ90_gp034,BIZ90_gp034,Alf5_034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1873990,29066731,BIZ90_gp035,BIZ90_gp035,Alf5_035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
