#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1074309,18559630,2,PBI_BIGNUZ_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201220,-
1074309,18559631,3,PBI_BIGNUZ_3,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559632,4,PBI_BIGNUZ_4,-,-,-,-,protease,protein-coding,-,-,-,protease,20201220,-
1074309,18559633,5,PBI_BIGNUZ_5,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559634,6,PBI_BIGNUZ_6,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559635,7,PBI_BIGNUZ_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559636,8,PBI_BIGNUZ_8,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201220,-
1074309,18559637,9,PBI_BIGNUZ_9,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201220,-
1074309,18559638,10,PBI_BIGNUZ_10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559639,11,PBI_BIGNUZ_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559640,12,PBI_BIGNUZ_12,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201220,-
1074309,18559641,13,PBI_BIGNUZ_13,-,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201220,-
1074309,18559642,14,PBI_BIGNUZ_14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559643,15,PBI_BIGNUZ_15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1074309,18559644,16,PBI_BIGNUZ_16,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201220,-
