#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
994601,11535992,PaVLD_ORF021L,PaVLD_ORF021L,-,-,-,-,thymidine kinase,protein-coding,-,-,-,thymidine kinase,20201220,-
994601,11535993,PaVLD_ORF022L,PaVLD_ORF022L,-,-,-,-,phycobilisome degradation protein nbla,protein-coding,-,-,-,phycobilisome degradation protein nbla,20201220,-
994601,11535994,PaVLD_ORF023R,PaVLD_ORF023R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11535995,PaVLD_ORF024R,PaVLD_ORF024R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11535996,PaVLD_ORF025R,PaVLD_ORF025R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11535997,PaVLD_ORF026R,PaVLD_ORF026R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11535998,PaVLD_ORF027L,PaVLD_ORF027L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11535999,PaVLD_ORF028L,PaVLD_ORF028L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536000,PaVLD_ORF029L,PaVLD_ORF029L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536001,PaVLD_ORF030L,PaVLD_ORF030L,-,-,-,-,type II toxin-antitoxin system HicB family antitoxin,protein-coding,-,-,-,type II toxin-antitoxin system HicB family antitoxin,20201220,-
994601,11536002,PaVLD_ORF031L,PaVLD_ORF031L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536003,PaVLD_ORF032L,PaVLD_ORF032L,-,-,-,-,putative acetyltransferase,protein-coding,-,-,-,putative acetyltransferase,20201220,-
994601,11536004,PaVLD_ORF033R,PaVLD_ORF033R,-,-,-,-,DevA family ABC transporter ATP-binding protein,protein-coding,-,-,-,DevA family ABC transporter ATP-binding protein,20201220,-
994601,11536005,PaVLD_ORF034R,PaVLD_ORF034R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536006,PaVLD_ORF035R,PaVLD_ORF035R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536007,PaVLD_ORF036R,PaVLD_ORF036R,-,-,-,-,serine/threonine-protein phosphatase,protein-coding,-,-,-,serine/threonine-protein phosphatase,20201220,-
994601,11536008,PaVLD_ORF037R,PaVLD_ORF037R,-,-,-,-,protein kinase,protein-coding,-,-,-,protein kinase,20201220,-
994601,11536009,PaVLD_ORF038L,PaVLD_ORF038L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536010,PaVLD_ORF039L,PaVLD_ORF039L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536011,PaVLD_ORF040L,PaVLD_ORF040L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536012,PaVLD_ORF041R,PaVLD_ORF041R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536013,PaVLD_ORF042L,PaVLD_ORF042L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536014,PaVLD_ORF043L,PaVLD_ORF043L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536015,PaVLD_ORF044L,PaVLD_ORF044L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536016,PaVLD_ORF045L,PaVLD_ORF045L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536017,PaVLD_ORF046L,PaVLD_ORF046L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536018,PaVLD_ORF047L,PaVLD_ORF047L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536019,PaVLD_ORF048L,PaVLD_ORF048L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536020,PaVLD_ORF049L,PaVLD_ORF049L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536021,PaVLD_ORF050L,PaVLD_ORF050L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536022,PaVLD_ORF051L,PaVLD_ORF051L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536023,PaVLD_ORF052R,PaVLD_ORF052R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536024,PaVLD_ORF053L,PaVLD_ORF053L,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201220,-
994601,11536025,PaVLD_ORF054L,PaVLD_ORF054L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536026,PaVLD_ORF055L,PaVLD_ORF055L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536027,PaVLD_ORF056L,PaVLD_ORF056L,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
994601,11536028,PaVLD_ORF057R,PaVLD_ORF057R,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201220,-
994601,11536029,PaVLD_ORF058R,PaVLD_ORF058R,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
