#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1647302,26646432,2,SEA_PHAYONCE_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1647302,26646433,3,SEA_PHAYONCE_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1647302,26646434,4,SEA_PHAYONCE_4,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1647302,26646435,5,SEA_PHAYONCE_5,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
1647302,26646436,6,SEA_PHAYONCE_6,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201221,-
1647302,26646437,7,SEA_PHAYONCE_7,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647302,26646438,8,SEA_PHAYONCE_8,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201221,-
1647302,26646439,9,SEA_PHAYONCE_9,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201221,-
1647302,26646440,10,SEA_PHAYONCE_10,-,-,-,-,head-to-tail connector,protein-coding,-,-,-,head-to-tail connector,20201221,-
1647302,26646441,11,SEA_PHAYONCE_11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647302,26646442,12,SEA_PHAYONCE_12,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201221,-
1647302,26646443,13,SEA_PHAYONCE_13,-,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201221,-
1647302,26646444,15,SEA_PHAYONCE_15,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1647302,26646445,16,SEA_PHAYONCE_16,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201221,-
1647302,26646446,14,SEA_PHAYONCE_14,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1647302,26646447,17,SEA_PHAYONCE_17,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1647302,26646448,18,SEA_PHAYONCE_18,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1647302,26646449,19,SEA_PHAYONCE_19,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1647302,26646450,20,SEA_PHAYONCE_20,-,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1647302,26646451,21,SEA_PHAYONCE_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647302,26646452,22,SEA_PHAYONCE_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647302,26646453,23,SEA_PHAYONCE_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647302,26646454,24,SEA_PHAYONCE_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647302,26646455,25,SEA_PHAYONCE_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647302,26646456,26,SEA_PHAYONCE_26,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201221,-
1647302,26646457,27,SEA_PHAYONCE_27,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201221,-
1647302,26646458,28,SEA_PHAYONCE_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647302,26646459,29,SEA_PHAYONCE_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647302,26646460,30,SEA_PHAYONCE_30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647302,26646461,31,SEA_PHAYONCE_31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647302,26646462,32,SEA_PHAYONCE_32,-,-,-,-,integrase,protein-coding,-,-,-,integrase,20201221,-
1647302,26646463,33,SEA_PHAYONCE_33,-,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201221,-
1647302,26646464,34,SEA_PHAYONCE_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647302,26646465,35,SEA_PHAYONCE_35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647302,26646466,36,SEA_PHAYONCE_36,-,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20201221,-
1647302,26646467,37,SEA_PHAYONCE_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647302,26646468,38,SEA_PHAYONCE_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647302,26646469,39,SEA_PHAYONCE_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647302,26646470,40,SEA_PHAYONCE_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647302,26646471,41,SEA_PHAYONCE_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647302,26646472,42,SEA_PHAYONCE_42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647302,26646473,43,SEA_PHAYONCE_43,-,-,-,-,WhiB,protein-coding,-,-,-,WhiB,20201221,-
1647302,26646474,44,SEA_PHAYONCE_44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647302,26646475,45,SEA_PHAYONCE_45,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647302,26646476,46,SEA_PHAYONCE_46,-,-,-,-,RecE,protein-coding,-,-,-,RecE,20201221,-
1647302,26646477,47,SEA_PHAYONCE_47,-,-,-,-,RecT,protein-coding,-,-,-,RecT,20201221,-
1647302,26646478,48,SEA_PHAYONCE_48,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647302,26646479,49,SEA_PHAYONCE_49,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647302,26646480,50,SEA_PHAYONCE_50,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647302,26646481,51,SEA_PHAYONCE_51,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647302,26646482,52,SEA_PHAYONCE_52,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647302,26646483,53,SEA_PHAYONCE_53,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647302,26646484,54,SEA_PHAYONCE_54,-,-,-,-,DNA methyltransferase,protein-coding,-,-,-,DNA methyltransferase,20201221,-
1647302,26646485,55,SEA_PHAYONCE_55,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647302,26646486,56,SEA_PHAYONCE_56,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647302,26646487,57,SEA_PHAYONCE_57,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647302,26646488,58,SEA_PHAYONCE_58,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647302,26646489,59,SEA_PHAYONCE_59,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647302,26646490,60,SEA_PHAYONCE_60,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647302,26646491,61,SEA_PHAYONCE_61,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647302,26646492,62,SEA_PHAYONCE_62,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647302,26646493,63,SEA_PHAYONCE_63,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647302,26646494,64,SEA_PHAYONCE_64,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647302,26646495,65,SEA_PHAYONCE_65,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1647302,26646496,66,SEA_PHAYONCE_66,-,-,-,-,HTH DNA binding protein,protein-coding,-,-,-,HTH DNA binding protein,20201221,-
1647302,26646497,67,SEA_PHAYONCE_67,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647302,26646498,68,SEA_PHAYONCE_68,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647302,26646499,69,SEA_PHAYONCE_69,-,-,-,-,peptidase,protein-coding,-,-,-,peptidase,20201221,-
1647302,26646500,70,SEA_PHAYONCE_70,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647302,26646501,71,SEA_PHAYONCE_71,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647302,26646502,72,SEA_PHAYONCE_72,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647302,26646503,73,SEA_PHAYONCE_73,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647302,26646504,74,SEA_PHAYONCE_74,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647302,26646505,75,SEA_PHAYONCE_75,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647302,26646506,76,SEA_PHAYONCE_76,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1647302,26646507,77,SEA_PHAYONCE_77,-,-,-,-,polynucleotide kinase,protein-coding,-,-,-,polynucleotide kinase,20201221,-
1647302,26646508,1,SEA_PHAYONCE_1,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1647302,26680812,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Phayonce).,other,-,-,-,-,20200513,-
