#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2094143,60325870,2,I5H12_gp002,SEA_ALEXPHANDER_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201129,-
2094143,60325871,3,I5H12_gp003,SEA_ALEXPHANDER_3,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201129,-
2094143,60325872,4,I5H12_gp004,SEA_ALEXPHANDER_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2094143,60325873,5,I5H12_gp005,SEA_ALEXPHANDER_5,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201129,-
2094143,60325874,6,I5H12_gp006,SEA_ALEXPHANDER_6,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2094143,60325875,7,I5H12_gp007,SEA_ALEXPHANDER_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2094143,60325876,8,I5H12_gp008,SEA_ALEXPHANDER_8,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2094143,60325877,9,I5H12_gp009,SEA_ALEXPHANDER_9,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2094143,60325878,10,I5H12_gp010,SEA_ALEXPHANDER_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2094143,60325879,11,I5H12_gp011,SEA_ALEXPHANDER_11,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2094143,60325880,12,I5H12_gp012,SEA_ALEXPHANDER_12,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2094143,60325881,14,I5H12_gp013,SEA_ALEXPHANDER_14,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2094143,60325882,15,I5H12_gp015,SEA_ALEXPHANDER_15,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210417,-
2094143,60325883,17,I5H12_gp017,SEA_ALEXPHANDER_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2094143,60325884,18,I5H12_gp018,SEA_ALEXPHANDER_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2094143,60325885,19,I5H12_gp019,SEA_ALEXPHANDER_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2094143,60325886,20,I5H12_gp020,SEA_ALEXPHANDER_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
