#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1448276,19685493,HH34_gp02,HH34_gp02,-,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
1448276,19685494,HH34_gp03,HH34_gp03,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200629,-
1448276,19685495,HH34_gp04,HH34_gp04,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200629,-
1448276,19685496,HH34_gp05,HH34_gp05,-,-,-,-,PblB-type protein,protein-coding,-,-,-,PblB-type protein,20210424,-
1448276,19685497,HH34_gp06,HH34_gp06,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200629,-
1448276,19685498,HH34_gp07,HH34_gp07,-,-,-,-,TMP domain-containing protein,protein-coding,-,-,-,TMP domain-containing protein,20200629,-
1448276,19685499,HH34_gp08,HH34_gp08,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200629,-
1448276,19685500,HH34_gp09,HH34_gp09,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200629,-
1448276,19685501,HH34_gp10,HH34_gp10,-,-,-,-,tail protein,protein-coding,-,-,-,tail protein,20201221,-
1448276,19685502,HH34_gp11,HH34_gp11,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200629,-
1448276,19685503,HH34_gp12,HH34_gp12,-,-,-,-,Putative phage neck protein,protein-coding,-,-,-,Putative phage neck protein,20200629,-
1448276,19685504,HH34_gp13,HH34_gp13,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200629,-
1448276,19685505,HH34_gp14,HH34_gp14,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200629,-
1448276,19685506,HH34_gp15,HH34_gp15,-,-,-,-,sugar-binding protein,protein-coding,-,-,-,sugar-binding protein,20201221,-
1448276,19685507,HH34_gp16,HH34_gp16,-,-,-,-,DUF4355 domain-containing protein,protein-coding,-,-,-,DUF4355 domain-containing protein,20201221,-
1448276,19685508,HH34_gp17,HH34_gp17,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200629,-
1448276,19685509,HH34_gp18,HH34_gp18,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200629,-
1448276,19685510,HH34_gp19,HH34_gp19,-,-,-,-,minor capsid protein,protein-coding,-,-,-,minor capsid protein,20201221,-
1448276,19685511,HH34_gp20,HH34_gp20,-,-,-,-,Phage portal protein,protein-coding,-,-,-,Phage portal protein,20200629,-
1448276,19685512,HH34_gp21,HH34_gp21,-,-,-,-,PBSX familygterminase large subunit,protein-coding,-,-,-,PBSX familygterminase large subunit,20201221,-
1448276,19685513,HH34_gp22,HH34_gp22,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
1448276,19685514,HH34_gp23,HH34_gp23,-,-,-,-,DUF1492 domain-containing protein,protein-coding,-,-,-,DUF1492 domain-containing protein,20201221,-
1448276,19685515,HH34_gp24,HH34_gp24,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200629,-
1448276,19685516,HH34_gp25,HH34_gp25,-,-,-,-,YopX domain protein,protein-coding,-,-,-,YopX domain protein,20200629,-
1448276,19685517,HH34_gp26,HH34_gp26,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200629,-
1448276,19685518,HH34_gp27,HH34_gp27,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200629,-
1448276,19685519,HH34_gp28,HH34_gp28,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200629,-
1448276,19685520,HH34_gp29,HH34_gp29,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200629,-
1448276,19685521,HH34_gp30,HH34_gp30,-,-,-,-,RusA family crossover junction endodeoxyribonuclease,protein-coding,-,-,-,RusA family crossover junction endodeoxyribonuclease,20201221,-
1448276,19685522,HH34_gp31,HH34_gp31,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200629,-
1448276,19685523,HH34_gp32,HH34_gp32,-,-,-,-,methyltransferase domain-containing protein,protein-coding,-,-,-,methyltransferase domain-containing protein,20210424,-
1448276,19685524,HH34_gp33,HH34_gp33,-,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20201221,-
1448276,19685525,HH34_gp34,HH34_gp34,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200629,-
1448276,19685526,HH34_gp35,HH34_gp35,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200629,-
1448276,19685527,HH34_gp36,HH34_gp36,-,-,-,-,DUF1351 domain-containing protein,protein-coding,-,-,-,DUF1351 domain-containing protein,20210424,-
1448276,19685528,HH34_gp37,HH34_gp37,-,-,-,-,recombination protein Bet,protein-coding,-,-,-,recombination protein Bet,20201221,-
1448276,19685529,HH34_gp38,HH34_gp38,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200629,-
1448276,19685530,HH34_gp39,HH34_gp39,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200629,-
1448276,19685531,HH34_gp40,HH34_gp40,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200629,-
1448276,19685532,HH34_gp41,HH34_gp41,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200629,-
1448276,19685533,HH34_gp42,HH34_gp42,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200629,-
1448276,19685534,HH34_gp43,HH34_gp43,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200629,-
1448276,19685535,HH34_gp44,HH34_gp44,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200629,-
1448276,19685536,HH34_gp45,HH34_gp45,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200629,-
1448276,19685537,HH34_gp46,HH34_gp46,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200629,-
1448276,19685538,HH34_gp47,HH34_gp47,-,-,-,-,Phage protein,protein-coding,-,-,-,Phage protein,20200629,-
1448276,19685539,HH34_gp48,HH34_gp48,-,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210417,-
1448276,19685540,HH34_gp49,HH34_gp49,-,-,-,-,recombinase family protein,protein-coding,-,-,-,recombinase family protein,20210424,-
1448276,19685541,HH34_gp01,HH34_gp01,-,-,-,-,N-acetylmuramoyl-L-alanine amidase LytA,protein-coding,-,-,-,N-acetylmuramoyl-L-alanine amidase LytA,20201221,-
1448276,19791148,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene.,other,-,-,-,-,20200513,-
