#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1392243,54414118,P152DRAFT_100491,P152DRAFT_100491,-,-,Unknown,-,eukaryotic translation initiation factor 4E,protein-coding,-,-,-,eukaryotic translation initiation factor 4E,20210313,-
1392243,54414119,P152DRAFT_100526,P152DRAFT_100526,-,-,Unknown,-,DnaJ-domain-containing protein,protein-coding,-,-,-,DnaJ-domain-containing protein,20210313,-
1392243,54414120,P152DRAFT_100686,P152DRAFT_100686,-,-,Unknown,-,carbamoyl-phosphate synth,protein-coding,-,-,-,carbamoyl-phosphate synth,20210313,-
1392243,54414121,P152DRAFT_100720,P152DRAFT_100720,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414122,P152DRAFT_100857,P152DRAFT_100857,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414123,P152DRAFT_100933,P152DRAFT_100933,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414124,P152DRAFT_100948,P152DRAFT_100948,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414125,P152DRAFT_101062,P152DRAFT_101062,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414126,P152DRAFT_101100,P152DRAFT_101100,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414127,P152DRAFT_101480,P152DRAFT_101480,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414128,P152DRAFT_101541,P152DRAFT_101541,-,-,Unknown,-,putative proteasome regulatory particle subunit,protein-coding,-,-,-,putative proteasome regulatory particle subunit,20210313,-
1392243,54414129,P152DRAFT_101638,P152DRAFT_101638,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210313,-
1392243,54414130,P152DRAFT_101802,P152DRAFT_101802,-,-,Unknown,-,zf-CHY-domain-containing protein,protein-coding,-,-,-,zf-CHY-domain-containing protein,20210313,-
1392243,54414131,P152DRAFT_101825,P152DRAFT_101825,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20200919,-
