#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2585737,65053265,KMB87_gp02,KMB87_gp02,SLUR29_00002,-,1,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20210608,-
2585737,65053266,KMB87_gp03,KMB87_gp03,SLUR29_00003,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053267,KMB87_gp04,KMB87_gp04,SLUR29_00004,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053268,KMB87_gp05,KMB87_gp05,SLUR29_00005,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053269,KMB87_gp06,KMB87_gp06,SLUR29_00006,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053270,KMB87_gp07,KMB87_gp07,SLUR29_00007,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053271,KMB87_gp08,KMB87_gp08,SLUR29_00008,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053272,KMB87_gp09,KMB87_gp09,SLUR29_00009,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053273,KMB87_gp10,KMB87_gp10,SLUR29_00010,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053274,KMB87_gp11,KMB87_gp11,SLUR29_00011,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053275,KMB87_gp12,KMB87_gp12,SLUR29_00012,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053276,KMB87_gp13,KMB87_gp13,SLUR29_00013,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053277,KMB87_gp14,KMB87_gp14,SLUR29_00014,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053278,KMB87_gp15,KMB87_gp15,SLUR29_00015,-,1,-,ATP-binding protein,protein-coding,-,-,-,ATP-binding protein,20210608,-
2585737,65053279,KMB87_gp16,KMB87_gp16,SLUR29_00016,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053280,KMB87_gp17,KMB87_gp17,SLUR29_00017,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053281,KMB87_gp18,KMB87_gp18,SLUR29_00018,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053282,KMB87_gp19,KMB87_gp19,SLUR29_00019,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053283,KMB87_gp20,KMB87_gp20,SLUR29_00020,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053284,KMB87_gp21,KMB87_gp21,SLUR29_00021,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053285,KMB87_gp22,KMB87_gp22,SLUR29_00022,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053286,KMB87_gp23,KMB87_gp23,SLUR29_00023,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053287,KMB87_gp24,KMB87_gp24,SLUR29_00024,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053288,KMB87_gp25,KMB87_gp25,SLUR29_00025,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053289,KMB87_gp26,KMB87_gp26,SLUR29_00026,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053290,KMB87_gp27,KMB87_gp27,SLUR29_00027,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053291,KMB87_gp28,KMB87_gp28,SLUR29_00028,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053292,KMB87_gp29,KMB87_gp29,SLUR29_00029,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053293,KMB87_gp30,KMB87_gp30,SLUR29_00030,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053294,KMB87_gp31,KMB87_gp31,SLUR29_00031,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053295,dcm,KMB87_gp32,SLUR29_00032,-,1,-,DNA-cytosine methylase,protein-coding,-,-,-,DNA-cytosine methylase,20210608,-
2585737,65053296,KMB87_gp34,KMB87_gp34,SLUR29_00034,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053297,KMB87_gp35,KMB87_gp35,SLUR29_00035,-,1,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210608,-
2585737,65053298,KMB87_gp36,KMB87_gp36,SLUR29_00036,-,1,-,hypotheticl protein,protein-coding,-,-,-,hypotheticl protein,20210608,-
