#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
5741,3974679,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Giardia duodenalis; Giardia lamblia; Lamblia intestinalis).,other,-,-,-,-,20201024,-
5741,5696686,GL50803_0050419,GL50803_0050419,GL50803_114654,-,Unknown,-,pVSP,pseudo,-,-,-,-,20201210,-
5741,5696689,GL50803_0050436,GL50803_0050436,GL50803_114286,-,Unknown,-,pVSP,pseudo,-,-,-,-,20201210,-
5741,5696690,GL50803_00r40003,GL50803_00r40003,GL50803_r0025,-,5,-,18S ribosomal RNA,rRNA,-,-,-,-,20201210,-
5741,5696700,GL50803_0050238,GL50803_0050238,GL50803_14307,-,4,-,pVSP,pseudo,-,-,-,-,20201210,-
5741,5696702,GL50803_0050253,GL50803_0050253,GL50803_135919,-,4,-,pVSP,pseudo,-,-,-,-,20201210,-
5741,5696703,GL50803_0050100,GL50803_0050100,GL50803_122565,-,5,-,VSP,protein-coding,-,-,-,VSP,20210424,-
5741,5696709,GL50803_0015400,GL50803_0015400,GL50803_15400,-,2,-,VSP,protein-coding,-,-,-,VSP,20201210,-
5741,5696710,GL50803_0050417,GL50803_0050417,GL50803_118133,-,Unknown,-,pVSP,pseudo,-,-,-,-,20201210,-
5741,5696714,GL50803_00117392,GL50803_00117392,GL50803_117393,-,1,-,"GNAT acetyltransferase, Mec-17",pseudo,-,-,-,-,20201210,-
5741,5696723,GL50803_0050057,GL50803_0050057,GL50803_100877,-,5,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20210424,-
5741,5696732,GL50803_0050239,GL50803_0050239,GL50803_121069,-,4,-,pVSP,pseudo,-,-,-,-,20201210,-
5741,5696736,GL50803_0050196,GL50803_0050196,GL50803_41476,-,4,-,pVSP,pseudo,-,-,-,-,20201210,-
5741,5696740,GL50803_0050422,GL50803_0050422,GL50803_118180,-,Unknown,-,pVSP,pseudo,-,-,-,-,20201210,-
5741,5696743,GL50803_0050102,GL50803_0050102,GL50803_122564,-,5,-,VSP,protein-coding,-,-,-,VSP,20210424,-
5741,5696745,GL50803_0050046,GL50803_0050046,GL50803_97233,-,5,-,pVSP,pseudo,-,-,-,-,20201210,-
5741,5696746,GL50803_00r40000,GL50803_00r40000,GL50803_r0021,-,5,-,28S rRNA,pseudo,-,-,-,-,20201210,-
5741,5696747,GL50803_00r40046,GL50803_00r40046,GL50803_r0020,-,Unknown,-,18S ribosomal RNA,rRNA,-,-,-,-,20201210,-
5741,5696753,GL50803_0050439,GL50803_0050439,GL50803_135881,-,Unknown,-,pVSP,pseudo,-,-,-,-,20201210,-
5741,5696754,GL50803_00r40014,GL50803_00r40014,GL50803_r0019,-,4,-,18S ribosomal RNA,rRNA,-,-,-,-,20201210,-
5741,5696756,GL50803_0050255,GL50803_0050255,GL50803_112314,-,4,-,pVSP,pseudo,-,-,-,-,20201210,-
5741,5696758,GL50803_0050266,GL50803_0050266,GL50803_114122,-,4,-,pVSP,pseudo,-,-,-,-,20201210,-
5741,5696762,GL50803_0050363,GL50803_0050363,GL50803_8338,-,2,-,VSP,protein-coding,-,-,-,VSP,20210424,-
5741,5696765,GL50803_0050324,GL50803_0050324,GL50803_34442,-,3,-,pVSP,pseudo,-,-,-,-,20201210,-
5741,5696766,GL50803_0050321,GL50803_0050321,GL50803_136002,-,3,-,pseudo,pseudo,-,-,-,-,20201210,-
5741,5696767,GL50803_00115742,GL50803_00115742,GL50803_114672,-,5,-,VSP,protein-coding,-,-,-,VSP,20210424,-
5741,5696769,GL50803_0040022,GL50803_0040022,GL50803_115475,-,5,-,pVSP,pseudo,-,-,-,-,20201210,-
5741,5696770,GL50803_00r40033,GL50803_00r40033,GL50803_r0016,-,2,-,28S rRNA,pseudo,-,-,-,-,20201210,-
5741,5696774,GL50803_0050035,GL50803_0050035,GL50803_102540,-,5,-,pVSP,pseudo,-,-,-,-,20201210,-
5741,5696775,GL50803_0050034,GL50803_0050034,GL50803_113211,-,5,-,pVSP,pseudo,-,-,-,-,20201210,-
5741,5696776,GL50803_00r0015,GL50803_00r0015,GL50803_r0015,-,3,-,5S ribosomal RNA,rRNA,-,-,-,-,20201210,-
5741,5696779,GL50803_0050326,GL50803_0050326,GL50803_40621,-,3,-,pVSP,pseudo,-,-,-,-,20201210,-
5741,5696783,GL50803_0050434,GL50803_0050434,GL50803_112678,-,Unknown,-,pVSP,pseudo,-,-,-,-,20201210,-
5741,5696785,GL50803_0050039,GL50803_0050039,GL50803_101498,-,5,-,High cysteine protein,pseudo,-,-,-,-,20201210,-
5741,5696787,GL50803_0050038,GL50803_0050038,GL50803_135832,-,5,-,pVSP,pseudo,-,-,-,-,20201210,-
5741,5696788,GL50803_0050033,GL50803_0050033,GL50803_105983,-,5,-,pVSP,pseudo,-,-,-,-,20201210,-
5741,5696790,GL50803_0050032,GL50803_0050032,GL50803_135831,-,5,-,pVSP,pseudo,-,-,-,-,20201210,-
5741,5696792,GL50803_0050418,GL50803_0050418,GL50803_34196,-,Unknown,-,pVSP,pseudo,-,-,-,-,20201210,-
5741,5696793,GL50803_004563,GL50803_004563,GL50803_4563,-,3,-,Copine I,protein-coding,-,-,-,Copine I,20201210,-
5741,5696794,GL50803_00114192,GL50803_00114192,GL50803_114192,-,3,-,"Kinase, NEK",protein-coding,-,-,-,"Kinase, NEK",20201210,-
5741,5696795,GL50803_00r40004,GL50803_00r40004,GL50803_r0013,-,5,-,28S rRNA,pseudo,-,-,-,-,20201210,-
5741,5696796,GL50803_0050191,GL50803_0050191,GL50803_113491,-,4,-,pVSP,pseudo,-,-,-,-,20201210,-
5741,5696798,GL50803_0050194,GL50803_0050194,GL50803_92835,-,4,-,pVSP,pseudo,-,-,-,-,20201210,-
5741,5696800,GL50803_0050179,GL50803_0050179,GL50803_114653,-,4,-,pseudo,pseudo,-,-,-,-,20201210,-
5741,5696804,GL50803_00114973,GL50803_00114973,GL50803_114973,-,3,-,"Reverse transcriptase/endonuclease, putative",pseudo,-,-,-,-,20201210,-
5741,5696805,GL50803_00114674,GL50803_00114674,GL50803_114674,-,3,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201210,-
5741,5696809,GL50803_0092957,GL50803_0092957,GL50803_92957,-,2,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201210,-
5741,5696810,GL50803_0061425,GL50803_0061425,GL50803_5047,-,2,-,Alpha-9 giardin,pseudo,-,-,-,-,20201210,-
5741,5696813,GL50803_00112681,GL50803_00112681,GL50803_112681,-,2,-,Vesicle-fusing ATPase,protein-coding,-,-,-,Vesicle-fusing ATPase,20210424,-
5741,5696814,GL50803_00137725,GL50803_00137725,GL50803_88438,-,2,-,"Phospholipid-transporting ATPase IIB, putative",pseudo,-,-,-,-,20201210,-
5741,5696815,GL50803_0016152,GL50803_0016152,GL50803_16152,-,5,-,Coiled-coil protein,protein-coding,-,-,-,Coiled-coil protein,20201210,-
5741,5696818,GL50803_00dt0060,GL50803_00dt0060,GL50803_t0062,-,5,-,tRNA,tRNA,-,-,-,-,20201210,-
5741,5696819,GL50803_0036884,GL50803_0036884,GL50803_36884,-,5,-,Coiled-coil protein,protein-coding,-,-,-,Coiled-coil protein,20210424,-
5741,5696823,GL50803_00t0063,GL50803_00t0063,GL50803_t0063,-,5,-,tRNA,tRNA,-,-,-,-,20201210,-
5741,5696825,GL50803_00d117440,GL50803_00d117440,GL50803_117441,-,5,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201210,-
5741,5696829,GL50803_0061420,GL50803_0061420,GL50803_114671,-,2,-,Ankyrin repeat protein 1,protein-coding,-,-,-,Ankyrin repeat protein 1,20210424,-
5741,5696831,GL50803_00112938,GL50803_00112938,GL50803_112914,-,3,-,uncharacterized protein,protein-coding,-,-,-,uncharacterized protein,20201210,-
5741,5696833,GL50803_0061460,GL50803_0061460,GL50803_33855,-,1,-,"Reverse transcriptase/endonuclease, putative",pseudo,-,-,-,-,20201210,-
