#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1091556,24599014,ACP48_gp02,ACP48_gp02,-,-,-,-,helix-turn-helix domain-containing protein,protein-coding,-,-,-,helix-turn-helix domain-containing protein,20210129,-
1091556,24599015,ACP48_gp03,ACP48_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1091556,24599016,ACP48_gp04,ACP48_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1091556,24599017,ACP48_gp05,ACP48_gp05,-,-,-,-,Mu transposase C-terminal domain-containing protein,protein-coding,-,-,-,Mu transposase C-terminal domain-containing protein,20201220,-
1091556,24599018,ACP48_gp06,ACP48_gp06,-,-,-,-,ATP-binding protein,protein-coding,-,-,-,ATP-binding protein,20201220,-
1091556,24599019,ACP48_gp07,ACP48_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1091556,24599020,ACP48_gp08,ACP48_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1091556,24599021,ACP48_gp09,ACP48_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1091556,24599022,ACP48_gp10,ACP48_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1091556,24599023,ACP48_gp11,ACP48_gp11,-,-,-,-,DUF3164 family protein,protein-coding,-,-,-,DUF3164 family protein,20201220,-
1091556,24599024,ACP48_gp12,ACP48_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1091556,24599025,ACP48_gp13,ACP48_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1091556,24599026,ACP48_gp14,ACP48_gp14,-,-,-,-,DUF2786 domain-containing protein,protein-coding,-,-,-,DUF2786 domain-containing protein,20201220,-
1091556,24599027,ACP48_gp15,ACP48_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1091556,24599028,ACP48_gp16,ACP48_gp16,-,-,-,-,regulatory protein GemA,protein-coding,-,-,-,regulatory protein GemA,20201220,-
1091556,24599029,ACP48_gp17,ACP48_gp17,-,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210406,-
1091556,24599030,ACP48_gp18,ACP48_gp18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1091556,24599031,ACP48_gp19,ACP48_gp19,-,-,-,-,structural protein,protein-coding,-,-,-,structural protein,20201220,-
1091556,24599032,ACP48_gp20,ACP48_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1091556,24599033,ACP48_gp21,ACP48_gp21,-,-,-,-,putative Rz protein,protein-coding,-,-,-,putative Rz protein,20200629,-
1091556,24599034,ACP48_gp22,ACP48_gp22,-,-,-,-,putative Rz.1 protein,protein-coding,-,-,-,putative Rz.1 protein,20200629,-
1091556,24599035,ACP48_gp23,ACP48_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1091556,24599036,ACP48_gp24,ACP48_gp24,-,-,-,-,DUF1804 family protein,protein-coding,-,-,-,DUF1804 family protein,20201220,-
1091556,24599037,ACP48_gp25,ACP48_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
