#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2047801,40096716,FDJ09_gp02,FDJ09_gp02,E1_2,-,-,-,putative structural protein,protein-coding,-,-,-,putative structural protein,20201221,-
2047801,40096717,FDJ09_gp03,FDJ09_gp03,E1_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096718,FDJ09_gp04,FDJ09_gp04,E1_04,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20201221,-
2047801,40096719,FDJ09_gp05,FDJ09_gp05,E1_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096720,FDJ09_gp06,FDJ09_gp06,E1_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096721,FDJ09_gp07,FDJ09_gp07,E1_7,-,-,-,putative spanin,protein-coding,-,-,-,putative spanin,20201221,-
2047801,40096722,FDJ09_gp08,FDJ09_gp08,E1_8,-,-,-,putative spanin,protein-coding,-,-,-,putative spanin,20201221,-
2047801,40096723,FDJ09_gp09,FDJ09_gp09,E1_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096724,FDJ09_gp10,FDJ09_gp10,E1_10,-,-,-,putative major capsid protein,protein-coding,-,-,-,putative major capsid protein,20201221,-
2047801,40096725,FDJ09_gp11,FDJ09_gp11,E1_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096726,FDJ09_gp12,FDJ09_gp12,E1_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096727,FDJ09_gp13,FDJ09_gp13,E1_13,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096728,FDJ09_gp14,FDJ09_gp14,E1_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096729,FDJ09_gp15,FDJ09_gp15,E1_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096730,FDJ09_gp16,FDJ09_gp16,E1_16,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20201221,-
2047801,40096731,FDJ09_gp17,FDJ09_gp17,E1_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096732,FDJ09_gp18,FDJ09_gp18,E1_18,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20201221,-
2047801,40096733,FDJ09_gp19,FDJ09_gp19,E1_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096734,FDJ09_gp20,FDJ09_gp20,E1_20,-,-,-,acid phosphatase,protein-coding,-,-,-,acid phosphatase,20201221,-
2047801,40096735,FDJ09_gp21,FDJ09_gp21,E1_21,-,-,-,calcineurin-like phosphoesterase superfamily domain protein,protein-coding,-,-,-,calcineurin-like phosphoesterase superfamily domain protein,20201221,-
2047801,40096736,FDJ09_gp22,FDJ09_gp22,E1_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096737,FDJ09_gp23,FDJ09_gp23,E1_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096738,FDJ09_gp24,FDJ09_gp24,E1_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096739,FDJ09_gp25,FDJ09_gp25,E1_25,-,-,-,putative tape measure protein,protein-coding,-,-,-,putative tape measure protein,20201221,-
2047801,40096740,FDJ09_gp26,FDJ09_gp26,E1_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096741,FDJ09_gp27,FDJ09_gp27,E1_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096742,FDJ09_gp28,FDJ09_gp28,E1_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096743,FDJ09_gp29,FDJ09_gp29,E1_29,-,-,-,putative tail protein,protein-coding,-,-,-,putative tail protein,20201221,-
2047801,40096744,FDJ09_gp30,FDJ09_gp30,E1_30,-,-,-,tail fibers protein,protein-coding,-,-,-,tail fibers protein,20201221,-
2047801,40096745,FDJ09_gp31,FDJ09_gp31,E1_31,-,-,-,exonuclease subunit,protein-coding,-,-,-,exonuclease subunit,20201221,-
2047801,40096746,FDJ09_gp32,FDJ09_gp32,E1_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096747,FDJ09_gp33,FDJ09_gp33,E1_33,-,-,-,helicase,protein-coding,-,-,-,helicase,20201221,-
2047801,40096748,FDJ09_gp34,FDJ09_gp34,E1_34,-,-,-,putative C-specific methylase,protein-coding,-,-,-,putative C-specific methylase,20201221,-
2047801,40096749,FDJ09_gp35,FDJ09_gp35,E1_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096750,FDJ09_gp36,FDJ09_gp36,E1_36,-,-,-,VRR-NUC domain protein,protein-coding,-,-,-,VRR-NUC domain protein,20201221,-
2047801,40096751,FDJ09_gp37,FDJ09_gp37,E1_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096752,FDJ09_gp38,FDJ09_gp38,E1_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096753,FDJ09_gp39,FDJ09_gp39,E1_39,-,-,-,putative DNA polymerase,protein-coding,-,-,-,putative DNA polymerase,20201221,-
2047801,40096754,FDJ09_gp40,FDJ09_gp40,E1_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096755,FDJ09_gp41,FDJ09_gp41,E1_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096756,FDJ09_gp42,FDJ09_gp42,E1_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096757,FDJ09_gp43,FDJ09_gp43,E1_43,-,-,-,PD-(D/E)XK nuclease superfamily protein,protein-coding,-,-,-,PD-(D/E)XK nuclease superfamily protein,20201221,-
2047801,40096758,FDJ09_gp44,FDJ09_gp44,E1_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096759,FDJ09_gp45,FDJ09_gp45,E1_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096760,FDJ09_gp46,FDJ09_gp46,E1_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096761,FDJ09_gp47,FDJ09_gp47,E1_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096762,CRO,FDJ09_gp48,E1_48,-,-,-,transcriptional repressor,protein-coding,-,-,-,transcriptional repressor,20201221,-
2047801,40096763,FDJ09_gp49,FDJ09_gp49,E1_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096764,FDJ09_gp50,FDJ09_gp50,E1_50,-,-,-,putative replicative helicase/primease,protein-coding,-,-,-,putative replicative helicase/primease,20201221,-
2047801,40096765,FDJ09_gp51,FDJ09_gp51,E1_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096766,FDJ09_gp52,FDJ09_gp52,E1_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096767,FDJ09_gp53,FDJ09_gp53,E1_53,-,-,-,helix-turn-helix domain protein,protein-coding,-,-,-,helix-turn-helix domain protein,20201221,-
2047801,40096768,FDJ09_gp54,FDJ09_gp54,E1_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096769,FDJ09_gp55,FDJ09_gp55,E1_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096770,FDJ09_gp56,FDJ09_gp56,E1_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096771,FDJ09_gp57,FDJ09_gp57,E1_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096772,FDJ09_gp58,FDJ09_gp58,E1_58,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096773,FDJ09_gp59,FDJ09_gp59,E1_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096774,FDJ09_gp60,FDJ09_gp60,E1_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096775,FDJ09_gp61,FDJ09_gp61,E1_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096776,FDJ09_gp62,FDJ09_gp62,E1_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096777,FDJ09_gp63,FDJ09_gp63,E1_63,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096778,FDJ09_gp64,FDJ09_gp64,E1_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096779,FDJ09_gp65,FDJ09_gp65,E1_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096780,FDJ09_gp66,FDJ09_gp66,E1_66,-,-,-,putative class II holin-like protein,protein-coding,-,-,-,putative class II holin-like protein,20201221,-
2047801,40096781,FDJ09_gp67,FDJ09_gp67,E1_67,-,-,-,putative class I holin-like protein,protein-coding,-,-,-,putative class I holin-like protein,20201221,-
2047801,40096782,FDJ09_gp68,FDJ09_gp68,E1_68,-,-,-,lysozyme/endolysin,protein-coding,-,-,-,lysozyme/endolysin,20201221,-
2047801,40096783,FDJ09_gp69,FDJ09_gp69,E1_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096784,FDJ09_gp70,FDJ09_gp70,E1_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096785,FDJ09_gp71,FDJ09_gp71,E1_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096786,FDJ09_gp72,FDJ09_gp72,E1_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096787,FDJ09_gp73,FDJ09_gp73,E1_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096788,FDJ09_gp74,FDJ09_gp74,E1_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096789,FDJ09_gp75,FDJ09_gp75,E1_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096790,FDJ09_gp76,FDJ09_gp76,E1_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096791,FDJ09_gp77,FDJ09_gp77,E1_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2047801,40096792,FDJ09_gp78,FDJ09_gp78,E1_78,-,-,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20201221,-
2047801,40096793,FDJ09_gp01,FDJ09_gp01,E1_00001,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20201221,-
2047801,40120506,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Escherichia phage vB_EcoS-MY).,other,-,-,-,-,20200622,-
