#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2776877,60328615,2,I5H38_gp02,SEA_FIREHOUSE51_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2776877,60328616,3,I5H38_gp03,SEA_FIREHOUSE51_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210417,-
2776877,60328617,4,I5H38_gp04,SEA_FIREHOUSE51_4,-,-,-,capsid maturation protease and MuF-like fusion protein,protein-coding,-,-,-,capsid maturation protease and MuF-like fusion protein,20201129,-
2776877,60328618,5,I5H38_gp05,SEA_FIREHOUSE51_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201129,-
2776877,60328619,6,I5H38_gp06,SEA_FIREHOUSE51_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210417,-
2776877,60328620,7,I5H38_gp07,SEA_FIREHOUSE51_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201129,-
2776877,60328621,8,I5H38_gp08,SEA_FIREHOUSE51_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201129,-
2776877,60328622,9,I5H38_gp09,SEA_FIREHOUSE51_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
2776877,60328623,10,I5H38_gp10,SEA_FIREHOUSE51_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201129,-
2776877,60328624,11,I5H38_gp11,SEA_FIREHOUSE51_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2776877,60328625,13,I5H38_gp12,SEA_FIREHOUSE51_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
