#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1772296,40078360,2,FDH56_gp02,DRROBERT_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201221,-
1772296,40078361,3,FDH56_gp03,DRROBERT_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201221,-
1772296,40078362,4,FDH56_gp04,DRROBERT_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
1772296,40078363,5,FDH56_gp05,DRROBERT_5,-,-,-,major capsid subunit,protein-coding,-,-,-,major capsid subunit,20201221,-
1772296,40078364,6,FDH56_gp06,DRROBERT_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772296,40078365,7,FDH56_gp07,DRROBERT_7,-,-,-,head-to-tail connector,protein-coding,-,-,-,head-to-tail connector,20201221,-
1772296,40078366,8,FDH56_gp08,DRROBERT_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772296,40078367,9,FDH56_gp09,DRROBERT_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772296,40078368,10,FDH56_gp10,DRROBERT_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772296,40078369,11,FDH56_gp11,DRROBERT_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1772296,40078370,13,FDH56_gp12,DRROBERT_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1772296,40078371,14,FDH56_gp14,DRROBERT_14,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20201221,-
1772296,40078372,12,FDH56_gp13,DRROBERT_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
1772296,40078373,15,FDH56_gp15,DRROBERT_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
1772296,40078374,16,FDH56_gp16,DRROBERT_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
