#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1229784,13826937,2,D287_gp02,P141_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20200927,-
1229784,13826938,3,D287_gp03,P141_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20200927,-
1229784,13826939,4,D287_gp04,P141_4,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229784,13826940,5,D287_gp05,P141_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20200927,-
1229784,13826941,6,D287_gp06,P141_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20200927,-
1229784,13826942,7,D287_gp07,P141_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20200927,-
1229784,13826943,8,D287_gp08,P141_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229784,13826944,9,D287_gp09,P141_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229784,13826945,10,D287_gp10,P141_10,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229784,13826946,11,D287_gp11,P141_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20200927,-
1229784,13826947,13,D287_gp12,P141_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1229784,13826948,14,D287_gp14,P141_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20200927,-
1229784,13826949,12,D287_gp13,P141_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20200927,-
1229784,13826950,15,D287_gp15,P141_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1229784,13826951,16,D287_gp16,P141_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1229784,13826952,17,D287_gp17,P141_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1229784,13826953,18,D287_gp18,P141_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229784,13826954,19,D287_gp19,P141_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20200927,-
1229784,13826955,20,D287_gp20,P141_20,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20200927,-
1229784,13826956,21,D287_gp21,P141_21,-,-,-,holin,protein-coding,-,-,-,holin,20200927,-
1229784,13826957,22,D287_gp22,P141_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229784,13826958,23,D287_gp23,P141_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229784,13826959,24,D287_gp24,P141_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229784,13826960,25,D287_gp25,P141_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229784,13826961,26,D287_gp26,P141_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229784,13826962,27,D287_gp27,P141_27,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20200927,-
1229784,13826963,28,D287_gp28,P141_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229784,13826964,29,D287_gp29,P141_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229784,13826965,30,D287_gp30,P141_30,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20200927,-
1229784,13826966,31,D287_gp31,P141_31,-,-,-,DNA primase/helicase,protein-coding,-,-,-,DNA primase/helicase,20200927,-
1229784,13826967,32,D287_gp32,P141_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229784,13826968,33,D287_gp33,P141_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229784,13826969,34,D287_gp34,P141_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229784,13826970,35,D287_gp35,P141_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229784,13826971,36,D287_gp36,P141_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229784,13826972,37,D287_gp37,P141_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229784,13826973,38,D287_gp38,P141_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229784,13826974,39,D287_gp39,P141_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229784,13826975,40,D287_gp40,P141_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229784,13826976,41,D287_gp41,P141_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229784,13826977,42,D287_gp42,P141_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229784,13826978,43,D287_gp43,P141_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229784,13826979,44,D287_gp44,P141_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229784,13826980,45,D287_gp45,P141_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229784,13826981,47,D287_gp47,P141_47,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20200927,-
1229784,13826982,46,D287_gp46,P141_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229784,13826983,1,D287_gp01,P141_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1229784,13839487,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Propionibacterium acens phage P14.4; Propionibacterium phage P14.4).,other,-,-,-,-,20200513,-
