#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1036615,40084205,2,FDI16_gp002,SHAUNA1_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201220,-
1036615,40084206,3,FDI16_gp003,SHAUNA1_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210123,-
1036615,40084207,4,FDI16_gp004,SHAUNA1_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201220,-
1036615,40084208,5,FDI16_gp005,SHAUNA1_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201220,-
1036615,40084209,6,FDI16_gp006,SHAUNA1_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
1036615,40084210,7,FDI16_gp007,SHAUNA1_7,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20201220,-
1036615,40084211,8,FDI16_gp008,SHAUNA1_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084212,9,FDI16_gp009,SHAUNA1_9,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20210123,-
1036615,40084213,10,FDI16_gp010,SHAUNA1_10,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20201220,-
1036615,40084214,11,FDI16_gp011,SHAUNA1_11,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201220,-
1036615,40084215,12,FDI16_gp012,SHAUNA1_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201220,-
1036615,40084216,14,FDI16_gp014,SHAUNA1_14,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20201220,-
1036615,40084217,13,FDI16_gp013,SHAUNA1_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201220,-
1036615,40084218,15,FDI16_gp015,SHAUNA1_15,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201220,-
1036615,40084219,16,FDI16_gp016,SHAUNA1_16,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201220,-
1036615,40084220,17,FDI16_gp017,SHAUNA1_17,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201220,-
1036615,40084221,18,FDI16_gp018,SHAUNA1_18,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201220,-
1036615,40084222,19,FDI16_gp019,SHAUNA1_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201220,-
1036615,40084223,20,FDI16_gp020,SHAUNA1_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084224,21,FDI16_gp021,SHAUNA1_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084225,22,FDI16_gp022,SHAUNA1_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1036615,40084226,23,FDI16_gp023,SHAUNA1_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084227,24,FDI16_gp024,SHAUNA1_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084228,25,FDI16_gp025,SHAUNA1_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084229,26,FDI16_gp026,SHAUNA1_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084230,27,FDI16_gp027,SHAUNA1_27,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201220,-
1036615,40084231,28,FDI16_gp028,SHAUNA1_28,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201220,-
1036615,40084232,29,FDI16_gp029,SHAUNA1_29,-,-,-,holin,protein-coding,-,-,-,holin,20210212,-
1036615,40084233,30,FDI16_gp030,SHAUNA1_30,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
1036615,40084234,31,FDI16_gp031,SHAUNA1_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084235,32,FDI16_gp032,SHAUNA1_32,-,-,-,DnaQ-like exonuclease,protein-coding,-,-,-,DnaQ-like exonuclease,20201220,-
1036615,40084236,33,FDI16_gp033,SHAUNA1_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084237,34,FDI16_gp034,SHAUNA1_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084238,35,FDI16_gp035,SHAUNA1_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084239,36,FDI16_gp036,SHAUNA1_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084240,37,FDI16_gp037,SHAUNA1_37,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084241,38,FDI16_gp038,SHAUNA1_38,-,-,-,integrase,protein-coding,-,-,-,integrase,20201220,-
1036615,40084242,39,FDI16_gp039,SHAUNA1_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084243,40,FDI16_gp040,SHAUNA1_40,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20201220,-
1036615,40084244,41,FDI16_gp041,SHAUNA1_41,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20201220,-
1036615,40084245,42,FDI16_gp042,SHAUNA1_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084246,43,FDI16_gp043,SHAUNA1_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1036615,40084247,44,FDI16_gp044,SHAUNA1_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084248,45,FDI16_gp045,SHAUNA1_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084249,46,FDI16_gp046,SHAUNA1_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084250,47,FDI16_gp047,SHAUNA1_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084251,48,FDI16_gp048,SHAUNA1_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1036615,40084252,49,FDI16_gp049,SHAUNA1_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084253,50,FDI16_gp050,SHAUNA1_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084254,51,FDI16_gp051,SHAUNA1_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084255,52,FDI16_gp052,SHAUNA1_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084256,53,FDI16_gp053,SHAUNA1_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084257,54,FDI16_gp054,SHAUNA1_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084258,55,FDI16_gp055,SHAUNA1_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210123,-
1036615,40084259,56,FDI16_gp056,SHAUNA1_56,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210406,-
1036615,40084260,57,FDI16_gp057,SHAUNA1_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084261,58,FDI16_gp058,SHAUNA1_58,-,-,-,HTH DNA binding domain protein,protein-coding,-,-,-,HTH DNA binding domain protein,20201220,-
1036615,40084262,59,FDI16_gp059,SHAUNA1_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084263,60,FDI16_gp060,SHAUNA1_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084264,61,FDI16_gp061,SHAUNA1_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084265,62,FDI16_gp062,SHAUNA1_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084266,63,FDI16_gp063,SHAUNA1_63,-,-,-,HNH endonuclease domain protein,protein-coding,-,-,-,HNH endonuclease domain protein,20201220,-
1036615,40084267,64,FDI16_gp064,SHAUNA1_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084268,65,FDI16_gp065,SHAUNA1_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084269,66,FDI16_gp066,SHAUNA1_66,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084270,67,FDI16_gp067,SHAUNA1_67,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20201220,-
1036615,40084271,68,FDI16_gp068,SHAUNA1_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084272,69,FDI16_gp069,SHAUNA1_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084273,70,FDI16_gp070,SHAUNA1_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084274,71,FDI16_gp071,SHAUNA1_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084275,72,FDI16_gp072,SHAUNA1_72,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210123,-
1036615,40084276,73,FDI16_gp073,SHAUNA1_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084277,74,FDI16_gp074,SHAUNA1_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084278,75,FDI16_gp075,SHAUNA1_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084279,76,FDI16_gp076,SHAUNA1_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084280,77,FDI16_gp077,SHAUNA1_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084281,78,FDI16_gp078,SHAUNA1_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084282,79,FDI16_gp079,SHAUNA1_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084283,80,FDI16_gp080,SHAUNA1_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084284,81,FDI16_gp081,SHAUNA1_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084285,82,FDI16_gp082,SHAUNA1_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084286,83,FDI16_gp083,SHAUNA1_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084287,84,FDI16_gp084,SHAUNA1_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084288,85,FDI16_gp085,SHAUNA1_85,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084289,86,FDI16_gp086,SHAUNA1_86,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084290,87,FDI16_gp087,SHAUNA1_87,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084291,88,FDI16_gp088,SHAUNA1_88,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084292,89,FDI16_gp089,SHAUNA1_89,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084293,90,FDI16_gp090,SHAUNA1_90,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084294,91,FDI16_gp091,SHAUNA1_91,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084295,92,FDI16_gp092,SHAUNA1_92,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084296,93,FDI16_gp093,SHAUNA1_93,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084297,94,FDI16_gp094,SHAUNA1_94,-,-,-,GIY-YIG endonuclease,protein-coding,-,-,-,GIY-YIG endonuclease,20210123,-
1036615,40084298,95,FDI16_gp095,SHAUNA1_95,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084299,96,FDI16_gp096,SHAUNA1_96,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084300,97,FDI16_gp097,SHAUNA1_97,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084301,98,FDI16_gp098,SHAUNA1_98,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084302,99,FDI16_gp099,SHAUNA1_99,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084303,100,FDI16_gp100,SHAUNA1_100,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084304,101,FDI16_gp101,SHAUNA1_101,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084305,102,FDI16_gp102,SHAUNA1_102,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084306,103,FDI16_gp103,SHAUNA1_103,-,-,-,galactosyltransferase,protein-coding,-,-,-,galactosyltransferase,20201220,-
1036615,40084307,104,FDI16_gp104,SHAUNA1_104,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1036615,40084308,105,FDI16_gp105,SHAUNA1_105,-,-,-,glucosyltransferase,protein-coding,-,-,-,glucosyltransferase,20210123,-
1036615,40084309,106,FDI16_gp106,SHAUNA1_106,-,-,-,HNH endonuclease domain protein,protein-coding,-,-,-,HNH endonuclease domain protein,20201220,-
1036615,40084310,107,FDI16_gp107,SHAUNA1_107,-,-,-,HNH endonuclease domain protein,protein-coding,-,-,-,HNH endonuclease domain protein,20210129,-
1036615,40084311,1,FDI16_gp001,SHAUNA1_1,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201220,-
1036615,40120077,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Mycobacteriophage Shauna1).,other,-,-,-,-,20200513,-
