#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2282904,65067662,KMC52_gp02,KMC52_gp02,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210607,-
2282904,65067663,KMC52_gp03,KMC52_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2282904,65067664,KMC52_gp04,KMC52_gp04,-,-,-,-,carbon storage regulator,protein-coding,-,-,-,carbon storage regulator,20210607,-
2282904,65067665,KMC52_gp05,KMC52_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2282904,65067666,KMC52_gp06,KMC52_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2282904,65067667,KMC52_gp07,KMC52_gp07,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210607,-
2282904,65067668,KMC52_gp08,KMC52_gp08,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210607,-
2282904,65067669,KMC52_gp09,KMC52_gp09,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2282904,65067670,KMC52_gp10,KMC52_gp10,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210607,-
2282904,65067671,KMC52_gp11,KMC52_gp11,-,-,-,-,CoA ester lyase,protein-coding,-,-,-,CoA ester lyase,20210607,-
2282904,65067672,KMC52_gp12,KMC52_gp12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2282904,65067673,KMC52_gp13,KMC52_gp13,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2282904,65067674,KMC52_gp14,KMC52_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2282904,65067675,KMC52_gp15,KMC52_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2282904,65067676,KMC52_gp16,KMC52_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2282904,65067677,KMC52_gp17,KMC52_gp17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2282904,65067678,KMC52_gp18,KMC52_gp18,-,-,-,-,transcriptional regulator,protein-coding,-,-,-,transcriptional regulator,20210607,-
2282904,65067679,KMC52_gp19,KMC52_gp19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2282904,65067680,KMC52_gp20,KMC52_gp20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2282904,65067681,KMC52_gp21,KMC52_gp21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2282904,65067682,KMC52_gp22,KMC52_gp22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2282904,65067683,KMC52_gp23,KMC52_gp23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2282904,65067684,KMC52_gp24,KMC52_gp24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2282904,65067685,KMC52_gp25,KMC52_gp25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2282904,65067686,KMC52_gp26,KMC52_gp26,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210607,-
2282904,65067687,KMC52_gp27,KMC52_gp27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2282904,65067688,KMC52_gp28,KMC52_gp28,-,-,-,-,HNH homing endonuclease II,protein-coding,-,-,-,HNH homing endonuclease II,20210607,-
2282904,65067689,KMC52_gp29,KMC52_gp29,-,-,-,-,IQ calmodulin-binding domain-containing family protein,protein-coding,-,-,-,IQ calmodulin-binding domain-containing family protein,20210607,-
2282904,65067690,KMC52_gp30,KMC52_gp30,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2282904,65067691,KMC52_gp31,KMC52_gp31,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2282904,65067692,KMC52_gp32,KMC52_gp32,-,-,-,-,HNH homing endonuclease,protein-coding,-,-,-,HNH homing endonuclease,20210607,-
2282904,65067693,KMC52_gp33,KMC52_gp33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2282904,65067694,KMC52_gp34,KMC52_gp34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2282904,65067695,KMC52_gp35,KMC52_gp35,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2282904,65067696,KMC52_gp36,KMC52_gp36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2282904,65067697,KMC52_gp37,KMC52_gp37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2282904,65067698,KMC52_gp38,KMC52_gp38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2282904,65067699,KMC52_gp39,KMC52_gp39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2282904,65067700,KMC52_gp40,KMC52_gp40,-,-,-,-,GIY-YIG nuclease family protein,protein-coding,-,-,-,GIY-YIG nuclease family protein,20210607,-
2282904,65067701,KMC52_gp41,KMC52_gp41,-,-,-,-,DUF1364 family protein,protein-coding,-,-,-,DUF1364 family protein,20210607,-
2282904,65067702,KMC52_gp42,KMC52_gp42,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2282904,65067703,KMC52_gp43,KMC52_gp43,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2282904,65067704,KMC52_gp44,KMC52_gp44,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2282904,65067705,KMC52_gp45,KMC52_gp45,-,-,-,-,single-stranded DNA-binding protein,protein-coding,-,-,-,single-stranded DNA-binding protein,20210607,-
2282904,65067706,KMC52_gp46,KMC52_gp46,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210607,-
2282904,65067707,KMC52_gp47,KMC52_gp47,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
