#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1359,2828061,NEWENTRY,-,-,-,-,-,"Record to support submission of GeneRIFs for a gene not in Gene (Lactobacillus cremoris; Lactococcus lactis subsp. cremoris; Streptococcus cremoris; Streptococcus hollandicus; Streptococcus lactis B; Streptococcus lactis subsp. cremoris.  Use when strain, subtype, isolate, etc. is unspecified, or when different from all specified ones in Gene.).",other,-,-,-,-,20210307,-
1359,39461351,LLCC_RS12910,LLCC_RS12910,LLCC_2745,-,-,-,-,tRNA,-,-,-,-,20190331,-
1359,39461392,LLCC_RS12815,LLCC_RS12815,LLCC_2725,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1359,39461397,LLCC_RS12495,LLCC_RS12495,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1359,39461407,LLCC_RS12605,LLCC_RS12605,LLCC_2682,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190403,-
1359,39461409,LLCC_RS12875,LLCC_RS12875,LLCC_2738,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1359,39461415,LLCC_RS12720,LLCC_RS12720,LLCC_2705,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190402,-
1359,39461452,LLCC_RS13080,LLCC_RS13080,LLCC_2780,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1359,39461453,LLCC_RS13175,LLCC_RS13175,LLCC_2799,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1359,39461454,LLCC_RS13130,LLCC_RS13130,LLCC_2789,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1359,39461458,LLCC_RS13155,LLCC_RS13155,LLCC_2794,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1359,39461460,LLCC_RS13015,LLCC_RS13015,LLCC_2767,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1359,39461463,LLCC_RS13125,LLCC_RS13125,LLCC_2788,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1359,39461466,LLCC_RS13030,LLCC_RS13030,LLCC_2770,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1359,39461467,LLCC_RS13055,LLCC_RS13055,LLCC_2775,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1359,39461468,LLCC_RS13110,LLCC_RS13110,LLCC_2786,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1359,39461469,LLCC_RS12995,LLCC_RS12995,LLCC_2763,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1359,39461470,LLCC_RS13075,LLCC_RS13075,LLCC_2779,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1359,39461471,LLCC_RS12990,LLCC_RS12990,LLCC_2762,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1359,39461472,LLCC_RS13165,LLCC_RS13165,LLCC_2796,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1359,39461475,LLCC_RS13115,LLCC_RS13115,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
1359,39461476,LLCC_RS13105,LLCC_RS13105,LLCC_2785,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20190331,-
