#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2759389,63742930,2,KCH38_gp02,SEA_ARCHIMEDES_2,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210529,-
2759389,63742931,3,KCH38_gp03,SEA_ARCHIMEDES_3,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210529,-
2759389,63742932,4,KCH38_gp04,SEA_ARCHIMEDES_4,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210529,-
2759389,63742933,5,KCH38_gp05,SEA_ARCHIMEDES_5,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2759389,63742934,6,KCH38_gp06,SEA_ARCHIMEDES_6,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210418,-
2759389,63742935,7,KCH38_gp07,SEA_ARCHIMEDES_7,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210418,-
2759389,63742936,8,KCH38_gp08,SEA_ARCHIMEDES_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2759389,63742937,9,KCH38_gp09,SEA_ARCHIMEDES_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2759389,63742938,10,KCH38_gp10,SEA_ARCHIMEDES_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210418,-
2759389,63742939,11,KCH38_gp11,SEA_ARCHIMEDES_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210418,-
2759389,63742940,13,KCH38_gp12,SEA_ARCHIMEDES_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210418,-
2759389,63742941,14,KCH38_gp14,SEA_ARCHIMEDES_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210529,-
2759389,63742942,12,KCH38_gp13,SEA_ARCHIMEDES_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210418,-
2759389,63742943,15,KCH38_gp15,SEA_ARCHIMEDES_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210418,-
2759389,63742944,16,KCH38_gp16,SEA_ARCHIMEDES_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210418,-
2759389,63742945,17,KCH38_gp17,SEA_ARCHIMEDES_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2759389,63742946,18,KCH38_gp18,SEA_ARCHIMEDES_18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210418,-
2759389,63742947,19,KCH38_gp19,SEA_ARCHIMEDES_19,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210529,-
