#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1983784,55002792,HOU10_gp02,HOU10_gp02,P26059B_0002,-,-,-,large terminase,protein-coding,-,-,-,large terminase,20210403,-
1983784,55002793,HOU10_gp03,HOU10_gp03,P26059B_0003,-,-,-,putative DNA maturase A,protein-coding,-,-,-,putative DNA maturase A,20210403,-
1983784,55002794,HOU10_gp04,HOU10_gp04,P26059B_0004,-,-,-,holin superfamily II protein,protein-coding,-,-,-,holin superfamily II protein,20210403,-
1983784,55002795,HOU10_gp05,HOU10_gp05,P26059B_0005,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210403,-
1983784,55002796,HOU10_gp06,HOU10_gp06,P26059B_0006,-,-,-,internal virion protein,protein-coding,-,-,-,internal virion protein,20210403,-
1983784,55002797,HOU10_gp07,HOU10_gp07,P26059B_0007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1983784,55002798,HOU10_gp08,HOU10_gp08,P26059B_0008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1983784,55002799,HOU10_gp09,HOU10_gp09,P26059B_0009,-,-,-,tail tubular protein B,protein-coding,-,-,-,tail tubular protein B,20200629,-
1983784,55002800,HOU10_gp10,HOU10_gp10,P26059B_0010,-,-,-,tail tubular protein A,protein-coding,-,-,-,tail tubular protein A,20210403,-
1983784,55002801,HOU10_gp11,HOU10_gp11,P26059B_0011,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210403,-
1983784,55002802,HOU10_gp12,HOU10_gp12,P26059B_0012,-,-,-,major capsid-like protein,protein-coding,-,-,-,major capsid-like protein,20210403,-
1983784,55002803,HOU10_gp13,HOU10_gp13,P26059B_0013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1983784,55002804,HOU10_gp14,HOU10_gp14,P26059B_0014,-,-,-,head-to-tail joining protein,protein-coding,-,-,-,head-to-tail joining protein,20210403,-
1983784,55002805,HOU10_gp15,HOU10_gp15,P26059B_0015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1983784,55002806,HOU10_gp16,HOU10_gp16,P26059B_0016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1983784,55002807,HOU10_gp17,HOU10_gp17,P26059B_0017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1983784,55002808,HOU10_gp18,HOU10_gp18,P26059B_0018,-,-,-,DNA-dependent RNA polymerase,protein-coding,-,-,-,DNA-dependent RNA polymerase,20210403,-
1983784,55002809,HOU10_gp19,HOU10_gp19,P26059B_0019,-,-,-,putative ATP-dependent DNA ligase,protein-coding,-,-,-,putative ATP-dependent DNA ligase,20210403,-
1983784,55002810,HOU10_gp20,HOU10_gp20,P26059B_0020,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
