#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1262537,16385332,HYO76_gp02,HYO76_gp02,P680_002,-,-,-,putative terminase large subunit,protein-coding,-,-,-,putative terminase large subunit,20200703,-
1262537,16385333,HYO76_gp03,HYO76_gp03,P680_003,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20200703,-
1262537,16385334,HYO76_gp04,HYO76_gp04,P680_004,-,-,-,putative portal protein,protein-coding,-,-,-,putative portal protein,20200703,-
1262537,16385335,HYO76_gp05,HYO76_gp05,P680_005,-,-,-,putative head protease,protein-coding,-,-,-,putative head protease,20200703,-
1262537,16385336,HYO76_gp06,HYO76_gp06,P680_006,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262537,16385337,HYO76_gp07,HYO76_gp07,P680_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262537,16385338,HYO76_gp08,HYO76_gp08,P680_008,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262537,16385339,HYO76_gp09,HYO76_gp09,P680_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262537,16385340,HYO76_gp10,HYO76_gp10,P680_0010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262537,16385341,HYO76_gp11,HYO76_gp11,P680_0011,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262537,16385342,HYO76_gp12,HYO76_gp12,P680_0012,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262537,16385343,HYO76_gp13,HYO76_gp13,P680_0013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262537,16385344,HYO76_gp14,HYO76_gp14,P680_0014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262537,16385345,HYO76_gp15,HYO76_gp15,P680_0015,-,-,-,putative tail tape measure protein,protein-coding,-,-,-,putative tail tape measure protein,20200703,-
1262537,16385346,HYO76_gp16,HYO76_gp16,P680_0016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262537,16385347,HYO76_gp17,HYO76_gp17,P680_0017,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262537,16385348,HYO76_gp18,HYO76_gp18,P680_0018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262537,16385349,HYO76_gp19,HYO76_gp19,P680_0019,-,-,-,putative receptor binding protein,protein-coding,-,-,-,putative receptor binding protein,20200703,-
1262537,16385350,HYO76_gp20,HYO76_gp20,P680_0020,-,-,-,putative holin,protein-coding,-,-,-,putative holin,20200703,-
1262537,16385351,HYO76_gp21,HYO76_gp21,P680_0021,-,-,-,putative endolysin,protein-coding,-,-,-,putative endolysin,20200703,-
1262537,16385352,HYO76_gp22,HYO76_gp22,P680_0022,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262537,16385353,HYO76_gp23,HYO76_gp23,P680_0023,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262537,16385354,HYO76_gp24,HYO76_gp24,P680_0024,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262537,16385355,HYO76_gp25,HYO76_gp25,P680_0025,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262537,16385356,HYO76_gp26,HYO76_gp26,P680_0026,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262537,16385357,HYO76_gp27,HYO76_gp27,P680_0027,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262537,16385358,HYO76_gp28,HYO76_gp28,P680_0028,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262537,16385359,HYO76_gp29,HYO76_gp29,P680_0029,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262537,16385360,HYO76_gp30,HYO76_gp30,P680_0030,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262537,16385361,HYO76_gp31,HYO76_gp31,P680_0031,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262537,16385362,HYO76_gp32,HYO76_gp32,P680_0032,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262537,16385363,HYO76_gp33,HYO76_gp33,P680_0033,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262537,16385364,HYO76_gp34,HYO76_gp34,P680_0034,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262537,16385365,HYO76_gp35,HYO76_gp35,P680_0035,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262537,16385366,HYO76_gp36,HYO76_gp36,P680_0036,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262537,16385367,HYO76_gp37,HYO76_gp37,P680_0037,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262537,16385368,HYO76_gp38,HYO76_gp38,P680_0038,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262537,16385369,HYO76_gp39,HYO76_gp39,P680_0039,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262537,16385370,HYO76_gp40,HYO76_gp40,P680_0040,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262537,16385371,HYO76_gp41,HYO76_gp41,P680_0041,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262537,16385372,HYO76_gp42,HYO76_gp42,P680_0042,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262537,16385373,HYO76_gp43,HYO76_gp43,P680_0043,-,-,-,putative DNA polymerase subunit,protein-coding,-,-,-,putative DNA polymerase subunit,20200703,-
1262537,16385374,HYO76_gp44,HYO76_gp44,P680_0044,-,-,-,putative HNH endonuclease,protein-coding,-,-,-,putative HNH endonuclease,20210417,-
1262537,16385375,HYO76_gp45,HYO76_gp45,P680_0045,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262537,16385376,HYO76_gp46,HYO76_gp46,P680_0046,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262537,16385377,HYO76_gp47,HYO76_gp47,P680_0047,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262537,16385378,HYO76_gp48,HYO76_gp48,P680_0048,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262537,16385379,HYO76_gp49,HYO76_gp49,P680_0049,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1262537,16385380,HYO76_gp01,HYO76_gp01,P680_001,-,-,-,putative terminase small subunit,protein-coding,-,-,-,putative terminase small subunit,20200703,-
1262537,16545712,NEWENTRY,-,-,-,-,-,Record to support submission of GeneRIFs for a gene not in Gene (Lactococcus lactis phage P680).,other,-,-,-,-,20200513,-
