#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
273057,1452661,SSO_RS12725,SSO_RS12725,SSO2622,-,-,-,hotdog fold thioesterase,protein-coding,-,-,-,hotdog fold thioesterase,20210424,-
273057,1452662,SSO_RS12730,SSO_RS12730,SSO2623,-,-,-,enoyl-CoA hydratase/isomerase family protein,protein-coding,-,-,-,enoyl-CoA hydratase/isomerase family protein,20210308,-
273057,1452663,SSO_RS12735,SSO_RS12735,SSO2624,-,-,-,enoyl-CoA hydratase/isomerase family protein,protein-coding,-,-,-,enoyl-CoA hydratase/isomerase family protein,20210417,-
273057,1452664,SSO_RS12740,SSO_RS12740,SSO2625,-,-,-,thiolase domain-containing protein,protein-coding,-,-,-,thiolase domain-containing protein,20210417,-
273057,1452665,SSO_RS12745,SSO_RS12745,SSO2626,-,-,-,Zn-ribbon domain-containing OB-fold protein,protein-coding,-,-,-,Zn-ribbon domain-containing OB-fold protein,20210417,-
273057,1452667,SSO_RS12750,SSO_RS12750,SSO2627,-,-,-,pseudo,pseudo,-,-,-,-,20210308,-
273057,1452668,SSO_RS12755,SSO_RS12755,SSO2628,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
273057,1452669,SSO_RS12760,SSO_RS12760,SSO10788,-,-,-,sulfurtransferase TusA family protein,protein-coding,-,-,-,sulfurtransferase TusA family protein,20210308,-
273057,1452670,SSO_RS12765,SSO_RS12765,SSO2629,-,-,-,NAD(P)/FAD-dependent oxidoreductase,protein-coding,-,-,-,NAD(P)/FAD-dependent oxidoreductase,20210417,-
273057,1452671,SSO_RS12770,SSO_RS12770,SSO2631,-,-,-,DsrE family protein,protein-coding,-,-,-,DsrE family protein,20210308,-
273057,1452672,SSO_RS12775,SSO_RS12775,SSO2632,-,-,-,DUF1641 domain-containing protein,protein-coding,-,-,-,DUF1641 domain-containing protein,20210308,-
273057,1452673,SSO_RS12780,SSO_RS12780,SSO2633,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1452674,SSO_RS12790,SSO_RS12790,SSO2634,-,-,-,rhodanese-like domain-containing protein,protein-coding,-,-,-,rhodanese-like domain-containing protein,20210308,-
273057,1452675,SSO_RS12795,SSO_RS12795,SSO2635,-,-,-,SelD-related putative sulfur metabolism protein,protein-coding,-,-,-,SelD-related putative sulfur metabolism protein,20210417,-
273057,1452676,SSO_RS12800,SSO_RS12800,SSO2636,-,-,-,xanthine dehydrogenase family protein subunit M,protein-coding,-,-,-,xanthine dehydrogenase family protein subunit M,20210417,-
273057,1452677,SSO_RS12805,SSO_RS12805,SSO2637,-,-,-,(2Fe-2S)-binding protein,protein-coding,-,-,-,(2Fe-2S)-binding protein,20210417,-
273057,1452679,SSO_RS12810,SSO_RS12810,SSO2639,-,-,-,xanthine dehydrogenase family protein molybdopterin-binding subunit,protein-coding,-,-,-,xanthine dehydrogenase family protein molybdopterin-binding subunit,20210417,-
273057,1452680,SSO_RS12815,SSO_RS12815,SSO2640,-,-,-,DUF2173 family protein,protein-coding,-,-,-,DUF2173 family protein,20210308,-
273057,1452681,SSO_RS12820,SSO_RS12820,SSO2641,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210308,-
273057,1452682,SSO_RS12825,SSO_RS12825,SSO2642,-,-,-,rubrerythrin family protein,protein-coding,-,-,-,rubrerythrin family protein,20210417,-
