#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2315531,55005236,2,HOU38_gp002,SEA_GETALONG_2,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201221,-
2315531,55005237,3,HOU38_gp003,SEA_GETALONG_3,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210403,-
2315531,55005238,4,HOU38_gp004,SEA_GETALONG_4,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210403,-
2315531,55005239,5,HOU38_gp005,SEA_GETALONG_5,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201221,-
2315531,55005240,6,HOU38_gp006,SEA_GETALONG_6,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201221,-
2315531,55005241,7,HOU38_gp007,SEA_GETALONG_7,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
2315531,55005242,8,HOU38_gp008,SEA_GETALONG_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005243,9,HOU38_gp009,SEA_GETALONG_9,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20201221,-
2315531,55005244,10,HOU38_gp010,SEA_GETALONG_10,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20201221,-
2315531,55005245,11,HOU38_gp011,SEA_GETALONG_11,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20201221,-
2315531,55005246,12,HOU38_gp012,SEA_GETALONG_12,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20201221,-
2315531,55005247,13,HOU38_gp013,SEA_GETALONG_13,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201221,-
2315531,55005248,14,HOU38_gp014,SEA_GETALONG_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005249,16,HOU38_gp015,SEA_GETALONG_16,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210403,-
2315531,55005250,17,HOU38_gp017,SEA_GETALONG_17,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005251,15,HOU38_gp016,SEA_GETALONG_15,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201221,-
2315531,55005252,18,HOU38_gp018,SEA_GETALONG_18,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210403,-
2315531,55005253,19,HOU38_gp019,SEA_GETALONG_19,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210403,-
2315531,55005254,20,HOU38_gp020,SEA_GETALONG_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2315531,55005255,21,HOU38_gp021,SEA_GETALONG_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2315531,55005256,22,HOU38_gp022,SEA_GETALONG_22,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2315531,55005257,23,HOU38_gp023,SEA_GETALONG_23,-,-,-,"lysin A, protease M15 domain",protein-coding,-,-,-,"lysin A, protease M15 domain",20210403,-
2315531,55005258,24,HOU38_gp024,SEA_GETALONG_24,-,-,-,"lysin A, protease M15 domain",protein-coding,-,-,-,"lysin A, protease M15 domain",20210403,-
2315531,55005259,25,HOU38_gp025,SEA_GETALONG_25,-,-,-,holin,protein-coding,-,-,-,holin,20201221,-
2315531,55005260,26,HOU38_gp026,SEA_GETALONG_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005261,27,HOU38_gp027,SEA_GETALONG_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005262,28,HOU38_gp028,SEA_GETALONG_28,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2315531,55005263,29,HOU38_gp029,SEA_GETALONG_29,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20210403,-
2315531,55005264,30,HOU38_gp030,SEA_GETALONG_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2315531,55005265,31,HOU38_gp031,SEA_GETALONG_31,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005266,32,HOU38_gp032,SEA_GETALONG_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005267,33,HOU38_gp033,SEA_GETALONG_33,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005268,34,HOU38_gp034,SEA_GETALONG_34,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2315531,55005269,35,HOU38_gp035,SEA_GETALONG_35,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201221,-
2315531,55005270,36,HOU38_gp036,SEA_GETALONG_36,-,-,-,O-acyltransferase,protein-coding,-,-,-,O-acyltransferase,20210403,-
2315531,55005271,37,HOU38_gp037,SEA_GETALONG_37,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2315531,55005272,38,HOU38_gp038,SEA_GETALONG_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005273,39,HOU38_gp039,SEA_GETALONG_39,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2315531,55005274,40,HOU38_gp040,SEA_GETALONG_40,-,-,-,helix-turn-helix DNA-binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA-binding domain protein,20210403,-
2315531,55005275,41,HOU38_gp041,SEA_GETALONG_41,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2315531,55005276,42,HOU38_gp042,SEA_GETALONG_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005277,43,HOU38_gp043,SEA_GETALONG_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005278,44,HOU38_gp044,SEA_GETALONG_44,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201221,-
2315531,55005279,45,HOU38_gp045,SEA_GETALONG_45,-,-,-,ribbon-helix-helix DNA-binding domain protein,protein-coding,-,-,-,ribbon-helix-helix DNA-binding domain protein,20201221,-
2315531,55005280,46,HOU38_gp046,SEA_GETALONG_46,-,-,-,Ead/Ea22-like protein,protein-coding,-,-,-,Ead/Ea22-like protein,20201221,-
2315531,55005281,47,HOU38_gp047,SEA_GETALONG_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005282,48,HOU38_gp048,SEA_GETALONG_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005283,49,HOU38_gp049,SEA_GETALONG_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210403,-
2315531,55005284,50,HOU38_gp050,SEA_GETALONG_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005285,51,HOU38_gp051,SEA_GETALONG_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005286,52,HOU38_gp052,SEA_GETALONG_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
2315531,55005287,53,HOU38_gp053,SEA_GETALONG_53,-,-,-,integrase,protein-coding,-,-,-,integrase,20210403,-
