#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2026944,65067824,KMC54_gp02,KMC54_gp02,SopranoGao_2,-,-,-,lysis protein,protein-coding,-,-,-,lysis protein,20210607,-
2026944,65067825,KMC54_gp03,KMC54_gp03,SopranoGao_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067826,KMC54_gp04,KMC54_gp04,SopranoGao_4,-,-,-,holin,protein-coding,-,-,-,holin,20210607,-
2026944,65067827,KMC54_gp05,KMC54_gp05,SopranoGao_5,-,-,-,endolysin,protein-coding,-,-,-,endolysin,20210607,-
2026944,65067828,KMC54_gp06,KMC54_gp06,SopranoGao_6,-,-,-,PLxRFG protein,protein-coding,-,-,-,PLxRFG protein,20210607,-
2026944,65067829,KMC54_gp07,KMC54_gp07,SopranoGao_7,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067830,KMC54_gp08,KMC54_gp08,SopranoGao_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067831,KMC54_gp09,KMC54_gp09,SopranoGao_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067832,KMC54_gp10,KMC54_gp10,SopranoGao_10,-,-,-,N-acetyltransferase,protein-coding,-,-,-,N-acetyltransferase,20210607,-
2026944,65067833,KMC54_gp11,KMC54_gp11,SopranoGao_11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067834,KMC54_gp12,KMC54_gp12,SopranoGao_12,-,-,-,virion associated protein,protein-coding,-,-,-,virion associated protein,20210607,-
2026944,65067835,KMC54_gp13,KMC54_gp13,SopranoGao_13,-,-,-,tail fiber protein,protein-coding,-,-,-,tail fiber protein,20210607,-
2026944,65067836,KMC54_gp14,KMC54_gp14,SopranoGao_14,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
2026944,65067837,KMC54_gp15,KMC54_gp15,SopranoGao_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
