#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1913446,65070898,int,KMD13_gp02,SpT152_002,-,-,-,integrase,protein-coding,-,-,-,integrase,20210607,-
1913446,65070899,KMD13_gp03,KMD13_gp03,SpT152_003,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1913446,65070900,KMD13_gp04,KMD13_gp04,SpT152_004,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1913446,65070901,KMD13_gp05,KMD13_gp05,SpT152_005,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1913446,65070902,KMD13_gp06,KMD13_gp06,SpT152_006,-,-,-,helix-turn-helix protein,protein-coding,-,-,-,helix-turn-helix protein,20210607,-
1913446,65070903,KMD13_gp07,KMD13_gp07,SpT152_007,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1913446,65070904,KMD13_gp08,KMD13_gp08,SpT152_008,-,-,-,CRISPR associated protein,protein-coding,-,-,-,CRISPR associated protein,20210607,-
1913446,65070905,KMD13_gp09,KMD13_gp09,SpT152_009,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1913446,65070906,KMD13_gp10,KMD13_gp10,SpT152_010,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1913446,65070907,KMD13_gp11,KMD13_gp11,SpT152_011,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210607,-
1913446,65070908,xis,KMD13_gp12,SpT152_012,-,-,-,excisionase,protein-coding,-,-,-,excisionase,20210607,-
1913446,65070909,KMD13_gp13,KMD13_gp13,SpT152_013,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1913446,65070910,KMD13_gp14,KMD13_gp14,SpT152_014,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1913446,65070911,KMD13_gp15,KMD13_gp15,SpT152_015,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1913446,65070912,KMD13_gp16,KMD13_gp16,SpT152_016,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1913446,65070913,ssb,KMD13_gp17,SpT152_017,-,-,-,single-stranded DNA binding protein,protein-coding,-,-,-,single-stranded DNA binding protein,20210607,-
1913446,65070914,KMD13_gp18,KMD13_gp18,SpT152_018,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1913446,65070915,KMD13_gp19,KMD13_gp19,SpT152_019,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1913446,65070916,KMD13_gp20,KMD13_gp20,SpT152_020,-,-,-,replication initiation protein,protein-coding,-,-,-,replication initiation protein,20210607,-
1913446,65070917,KMD13_gp21,KMD13_gp21,SpT152_021,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210607,-
1913446,65070918,dnaC,KMD13_gp22,SpT152_022,-,-,-,replicative DNA helicase,protein-coding,-,-,-,replicative DNA helicase,20210607,-
