#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1225791,26042186,HMPREFV_HMPID9843gp0002,HMPREFV_HMPID9843gp0002,-,-,-,-,regulatory protein GemA,protein-coding,-,-,-,regulatory protein GemA,20210417,-
1225791,26042187,HMPREFV_HMPID9843gp0003,HMPREFV_HMPID9843gp0003,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225791,26042188,HMPREFV_HMPID9843gp0004,HMPREFV_HMPID9843gp0004,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225791,26042189,HMPREFV_HMPID9843gp0005,HMPREFV_HMPID9843gp0005,-,-,-,-,DUF2786 domain-containing protein,protein-coding,-,-,-,DUF2786 domain-containing protein,20201221,-
1225791,26042190,HMPREFV_HMPID9843gp0006,HMPREFV_HMPID9843gp0006,-,-,-,-,PF11363 family protein,protein-coding,-,-,-,PF11363 family protein,20201221,-
1225791,26042191,HMPREFV_HMPID9843gp0007,HMPREFV_HMPID9843gp0007,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225791,26042192,HMPREFV_HMPID9843gp0008,HMPREFV_HMPID9843gp0008,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225791,26042193,HMPREFV_HMPID9843gp0009,HMPREFV_HMPID9843gp0009,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225791,26042194,HMPREFV_HMPID9843gp0010,HMPREFV_HMPID9843gp0010,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225791,26042195,HMPREFV_HMPID9843gp0011,HMPREFV_HMPID9843gp0011,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225791,26042196,HMPREFV_HMPID9843gp0012,HMPREFV_HMPID9843gp0012,-,-,-,-,AAA family ATPase,protein-coding,-,-,-,AAA family ATPase,20201221,-
1225791,26042197,HMPREFV_HMPID9843gp0013,HMPREFV_HMPID9843gp0013,-,-,-,-,DDE-type integrase/transposase/recombinase,protein-coding,-,-,-,DDE-type integrase/transposase/recombinase,20201221,-
1225791,26042198,HMPREFV_HMPID9843gp0014,HMPREFV_HMPID9843gp0014,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225791,26042199,HMPREFV_HMPID9843gp0015,HMPREFV_HMPID9843gp0015,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225791,26042200,HMPREFV_HMPID9843gp0016,HMPREFV_HMPID9843gp0016,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225791,26042201,HMPREFV_HMPID9843gp0017,HMPREFV_HMPID9843gp0017,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225791,26042202,HMPREFV_HMPID9843gp0018,HMPREFV_HMPID9843gp0018,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225791,26042203,HMPREFV_HMPID9843gp0019,HMPREFV_HMPID9843gp0019,-,-,-,-,DNA-binding protein,protein-coding,-,-,-,DNA-binding protein,20201221,-
1225791,26042204,HMPREFV_HMPID9843gp0020,HMPREFV_HMPID9843gp0020,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225791,26042205,HMPREFV_HMPID9843gp0021,HMPREFV_HMPID9843gp0021,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225791,26042206,HMPREFV_HMPID9843gp0022,HMPREFV_HMPID9843gp0022,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225791,26042207,HMPREFV_HMPID9843gp0023,HMPREFV_HMPID9843gp0023,-,-,-,-,transglycosylase SLT domain-containing protein,protein-coding,-,-,-,transglycosylase SLT domain-containing protein,20201221,-
1225791,26042208,HMPREFV_HMPID9843gp0024,HMPREFV_HMPID9843gp0024,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225791,26042209,HMPREFV_HMPID9843gp0025,HMPREFV_HMPID9843gp0025,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225791,26042210,HMPREFV_HMPID9843gp0026,HMPREFV_HMPID9843gp0026,-,-,-,-,putative lipoprotein,protein-coding,-,-,-,putative lipoprotein,20201221,-
1225791,26042211,HMPREFV_HMPID9843gp0027,HMPREFV_HMPID9843gp0027,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1225791,26042212,HMPREFV_HMPID9843gp0028,HMPREFV_HMPID9843gp0028,-,-,-,-,DUF3486 family protein,protein-coding,-,-,-,DUF3486 family protein,20201221,-
1225791,26042213,HMPREFV_HMPID9843gp0029,HMPREFV_HMPID9843gp0029,-,-,-,-,terminase-like family protein,protein-coding,-,-,-,terminase-like family protein,20201221,-
1225791,26042214,HMPREFV_HMPID9843gp0030,HMPREFV_HMPID9843gp0030,-,-,-,-,DUF935 family protein,protein-coding,-,-,-,DUF935 family protein,20201221,-
1225791,26042215,HMPREFV_HMPID9843gp0031,HMPREFV_HMPID9843gp0031,-,-,-,-,phage Mu protein F-like protein,protein-coding,-,-,-,phage Mu protein F-like protein,20201221,-
