#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1109710,11459250,terL,GoPhGRU1p14,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201220,-
1109710,11459251,terS,GoPhGRU1p13,-,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20201220,-
1109710,11459570,GoPhGRU1p23,GoPhGRU1p23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459571,GoPhGRU1p11,GoPhGRU1p11,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459572,GoPhGRU1p12,GoPhGRU1p12,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459573,GoPhGRU1p15,GoPhGRU1p15,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201220,-
1109710,11459574,GoPhGRU1p16,GoPhGRU1p16,-,-,-,-,putative head protein,protein-coding,-,-,-,putative head protein,20201220,-
1109710,11459575,GoPhGRU1p17,GoPhGRU1p17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459576,GoPhGRU1p18,GoPhGRU1p18,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459577,GoPhGRU1p19,GoPhGRU1p19,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459578,GoPhGRU1p20,GoPhGRU1p20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459579,GoPhGRU1p21,GoPhGRU1p21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459580,GoPhGRU1p22,GoPhGRU1p22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459581,GoPhGRU1p24,GoPhGRU1p24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459582,GoPhGRU1p25,GoPhGRU1p25,-,-,-,-,main tail protein,protein-coding,-,-,-,main tail protein,20201220,-
1109710,11459583,GoPhGRU1p26,GoPhGRU1p26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1109710,11459584,GoPhGRU1p27,GoPhGRU1p27,-,-,-,-,tail assembly protein,protein-coding,-,-,-,tail assembly protein,20201220,-
1109710,11459585,GoPhGRU1p28,GoPhGRU1p28,-,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20201220,-
1109710,11459586,GoPhGRU1p29,GoPhGRU1p29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
