#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2108127,60335188,2,I5I01_gp02,SEA_MOOMOO_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210424,-
2108127,60335189,3,I5I01_gp03,SEA_MOOMOO_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210424,-
2108127,60335190,4,I5I01_gp04,SEA_MOOMOO_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210424,-
2108127,60335191,5,I5I01_gp05,SEA_MOOMOO_5,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20201129,-
2108127,60335192,6,I5I01_gp06,SEA_MOOMOO_6,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335193,7,I5I01_gp07,SEA_MOOMOO_7,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20201129,-
2108127,60335194,8,I5I01_gp08,SEA_MOOMOO_8,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335195,9,I5I01_gp09,SEA_MOOMOO_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2108127,60335196,10,I5I01_gp10,SEA_MOOMOO_10,-,-,-,head-to-tail connector complex protein,protein-coding,-,-,-,head-to-tail connector complex protein,20201129,-
2108127,60335197,11,I5I01_gp11,SEA_MOOMOO_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201129,-
2108127,60335198,13,I5I01_gp12,SEA_MOOMOO_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2108127,60335199,14,I5I01_gp14,SEA_MOOMOO_14,-,-,-,tape measure protein,protein-coding,-,-,-,tape measure protein,20210424,-
2108127,60335200,12,I5I01_gp13,SEA_MOOMOO_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201129,-
2108127,60335201,15,I5I01_gp15,SEA_MOOMOO_15,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2108127,60335202,16,I5I01_gp16,SEA_MOOMOO_16,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2108127,60335203,17,I5I01_gp17,SEA_MOOMOO_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2108127,60335204,18,I5I01_gp18,SEA_MOOMOO_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2108127,60335205,19,I5I01_gp19,SEA_MOOMOO_19,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210424,-
2108127,60335206,20,I5I01_gp20,SEA_MOOMOO_20,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2108127,60335207,21,I5I01_gp21,SEA_MOOMOO_21,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201129,-
2108127,60335208,22,I5I01_gp22,SEA_MOOMOO_22,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20201129,-
2108127,60335209,23,I5I01_gp23,SEA_MOOMOO_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335210,24,I5I01_gp24,SEA_MOOMOO_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335211,25,I5I01_gp25,SEA_MOOMOO_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335212,26,I5I01_gp26,SEA_MOOMOO_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335213,27,I5I01_gp27,SEA_MOOMOO_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335214,28,I5I01_gp28,SEA_MOOMOO_28,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210424,-
2108127,60335215,29,I5I01_gp29,SEA_MOOMOO_29,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201129,-
2108127,60335216,30,I5I01_gp30,SEA_MOOMOO_30,-,-,-,holin,protein-coding,-,-,-,holin,20210424,-
2108127,60335217,31,I5I01_gp31,SEA_MOOMOO_31,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201129,-
2108127,60335218,32,I5I01_gp32,SEA_MOOMOO_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335219,33,I5I01_gp33,SEA_MOOMOO_33,-,-,-,holin,protein-coding,-,-,-,holin,20201129,-
2108127,60335220,34,I5I01_gp34,SEA_MOOMOO_34,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335221,35,I5I01_gp35,SEA_MOOMOO_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335222,36,I5I01_gp36,SEA_MOOMOO_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335223,38,I5I01_gp38,SEA_MOOMOO_38,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335224,39,I5I01_gp39,SEA_MOOMOO_39,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20201129,-
2108127,60335225,40,I5I01_gp40,SEA_MOOMOO_40,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2108127,60335226,41,I5I01_gp41,SEA_MOOMOO_41,-,-,-,integrase,protein-coding,-,-,-,integrase,20210424,-
2108127,60335227,42,I5I01_gp42,SEA_MOOMOO_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335228,43,I5I01_gp43,SEA_MOOMOO_43,-,-,-,XRE family like HTH DNA binding protein,protein-coding,-,-,-,XRE family like HTH DNA binding protein,20210424,-
2108127,60335229,44,I5I01_gp44,SEA_MOOMOO_44,-,-,-,antirepressor,protein-coding,-,-,-,antirepressor,20210424,-
2108127,60335230,45,I5I01_gp45,SEA_MOOMOO_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335231,46,I5I01_gp46,SEA_MOOMOO_46,-,-,-,excisionase,protein-coding,-,-,-,excisionase,20201129,-
2108127,60335232,47,I5I01_gp47,SEA_MOOMOO_47,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2108127,60335233,48,I5I01_gp48,SEA_MOOMOO_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335234,49,I5I01_gp49,SEA_MOOMOO_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335235,50,I5I01_gp50,SEA_MOOMOO_50,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335236,51,I5I01_gp51,SEA_MOOMOO_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335237,52,I5I01_gp52,SEA_MOOMOO_52,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2108127,60335238,53,I5I01_gp53,SEA_MOOMOO_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335239,54,I5I01_gp54,SEA_MOOMOO_54,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335240,55,I5I01_gp55,SEA_MOOMOO_55,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335241,56,I5I01_gp56,SEA_MOOMOO_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335242,57,I5I01_gp57,SEA_MOOMOO_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335243,58,I5I01_gp58,SEA_MOOMOO_58,-,-,-,WhiB family transcription factor,protein-coding,-,-,-,WhiB family transcription factor,20210424,-
2108127,60335244,59,I5I01_gp59,SEA_MOOMOO_59,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335245,60,I5I01_gp60,SEA_MOOMOO_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2108127,60335246,61,I5I01_gp61,SEA_MOOMOO_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335247,62,I5I01_gp62,SEA_MOOMOO_62,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335248,63,I5I01_gp63,SEA_MOOMOO_63,-,-,-,DNA recombinase,protein-coding,-,-,-,DNA recombinase,20210424,-
2108127,60335249,64,I5I01_gp64,SEA_MOOMOO_64,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335250,65,I5I01_gp65,SEA_MOOMOO_65,-,-,-,DNA methylase,protein-coding,-,-,-,DNA methylase,20210424,-
2108127,60335251,66,I5I01_gp66,SEA_MOOMOO_66,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201129,-
2108127,60335252,67,I5I01_gp67,SEA_MOOMOO_67,-,-,-,helix-turn-helix DNA binding protein,protein-coding,-,-,-,helix-turn-helix DNA binding protein,20201129,-
2108127,60335253,68,I5I01_gp68,SEA_MOOMOO_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335254,69,I5I01_gp69,SEA_MOOMOO_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335255,70,I5I01_gp70,SEA_MOOMOO_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335256,71,I5I01_gp71,SEA_MOOMOO_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335257,72,I5I01_gp72,SEA_MOOMOO_72,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335258,73,I5I01_gp73,SEA_MOOMOO_73,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335259,74,I5I01_gp74,SEA_MOOMOO_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210424,-
2108127,60335260,75,I5I01_gp75,SEA_MOOMOO_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335261,76,I5I01_gp76,SEA_MOOMOO_76,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335262,77,I5I01_gp77,SEA_MOOMOO_77,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335263,78,I5I01_gp78,SEA_MOOMOO_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
2108127,60335264,79,I5I01_gp79,SEA_MOOMOO_79,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201129,-
