#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1204534,13997273,D863_gp02,D863_gp02,phiMMP02_gp02,-,-,-,DEAD/DEAH box helicase family protein,protein-coding,-,-,-,DEAD/DEAH box helicase family protein,20201221,-
1204534,13997274,D863_gp03,D863_gp03,phiMMP02_gp03,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210123,-
1204534,13997275,D863_gp04,D863_gp04,phiMMP02_gp04,-,-,-,head morphogenesis protein,protein-coding,-,-,-,head morphogenesis protein,20200629,-
1204534,13997276,D863_gp05,D863_gp05,phiMMP02_gp05,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204534,13997277,D863_gp06,D863_gp06,phiMMP02_gp06,-,-,-,DUF2190 family protein,protein-coding,-,-,-,DUF2190 family protein,20210403,-
1204534,13997278,D863_gp07,D863_gp07,phiMMP02_gp07,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204534,13997279,D863_gp08,D863_gp08,phiMMP02_gp08,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204534,13997280,D863_gp09,D863_gp09,phiMMP02_gp09,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204534,13997281,D863_gp10,D863_gp10,phiMMP02_gp10,-,-,-,putative tail component,protein-coding,-,-,-,putative tail component,20200629,-
1204534,13997282,D863_gp11,D863_gp11,phiMMP02_gp11,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204534,13997283,D863_gp12,D863_gp12,phiMMP02_gp12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204534,13997284,D863_gp13,D863_gp13,phiMMP02_gp13,-,-,-,tail sheath subtilisin-like domain-containing protein,protein-coding,-,-,-,tail sheath subtilisin-like domain-containing protein,20201221,-
1204534,13997285,D863_gp14,D863_gp14,phiMMP02_gp14,-,-,-,XkdM-related protein,protein-coding,-,-,-,XkdM-related protein,20210417,-
1204534,13997286,D863_gp15,D863_gp15,phiMMP02_gp15,-,-,-,XkdN-related protein,protein-coding,-,-,-,XkdN-related protein,20210417,-
1204534,13997287,D863_gp16,D863_gp16,phiMMP02_gp16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204534,13997288,D863_gp17,D863_gp17,phiMMP02_gp17,-,-,-,tail tape measure protein,protein-coding,-,-,-,tail tape measure protein,20201221,-
1204534,13997289,D863_gp18,D863_gp18,phiMMP02_gp18,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204534,13997290,D863_gp19,D863_gp19,phiMMP02_gp19,-,-,-,LysM peptidoglycan-binding domain-containing protein,protein-coding,-,-,-,LysM peptidoglycan-binding domain-containing protein,20201221,-
1204534,13997291,D863_gp20,D863_gp20,phiMMP02_gp20,-,-,-,XkdQ-related protein,protein-coding,-,-,-,XkdQ-related protein,20200629,-
1204534,13997292,D863_gp21,D863_gp21,phiMMP02_gp21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1204534,13997293,D863_gp22,D863_gp22,phiMMP02_gp22,-,-,-,DUF2634 domain-containing protein,protein-coding,-,-,-,DUF2634 domain-containing protein,20210417,-
1204534,13997294,D863_gp23,D863_gp23,phiMMP02_gp23,-,-,-,baseplate J/gp47 family protein,protein-coding,-,-,-,baseplate J/gp47 family protein,20201221,-
