#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1089120,18564862,2,DEADP_2,-,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201220,-
1089120,18564863,3,DEADP_3,-,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20201220,-
1089120,18564864,4,DEADP_4,-,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201220,-
1089120,18564865,5,DEADP_5,-,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201220,-
1089120,18564866,6,DEADP_6,-,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210403,-
1089120,18564867,7,DEADP_7,-,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201220,-
1089120,18564868,8,DEADP_8,-,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201220,-
1089120,18564869,9,DEADP_9,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210417,-
1089120,18564870,10,DEADP_10,-,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201220,-
1089120,18564871,11,DEADP_11,-,-,-,-,major tail subunit,protein-coding,-,-,-,major tail subunit,20201220,-
1089120,18564872,13,DEADP_13,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201220,-
1089120,18564873,12,DEADP_12,-,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201220,-
1089120,18564874,14,DEADP_14,-,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20201220,-
1089120,18564875,15,DEADP_15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564876,16,DEADP_16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564877,17,DEADP_17,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564878,18,DEADP_18,-,-,-,-,minor tail subunit,protein-coding,-,-,-,minor tail subunit,20201220,-
1089120,18564879,19,DEADP_19,-,-,-,-,D-Ala-D-Ala carboxypeptidase,protein-coding,-,-,-,D-Ala-D-Ala carboxypeptidase,20201220,-
1089120,18564880,20,DEADP_20,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564881,21,DEADP_21,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564882,22,DEADP_22,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564883,23,DEADP_23,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564884,24,DEADP_24,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564885,25,DEADP_25,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564886,26,DEADP_26,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564887,27,DEADP_27,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564888,28,DEADP_28,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564889,29,DEADP_29,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564890,30,DEADP_30,-,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201220,-
1089120,18564891,31,DEADP_31,-,-,-,-,lysin B,protein-coding,-,-,-,lysin B,20201220,-
1089120,18564892,32,DEADP_32,-,-,-,-,holin,protein-coding,-,-,-,holin,20210129,-
1089120,18564893,33,DEADP_33,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564894,34,DEADP_34,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564895,35,DEADP_35,-,-,-,-,DnaQ-like protein,protein-coding,-,-,-,DnaQ-like protein,20210129,-
1089120,18564896,36,DEADP_36,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564897,37,DEADP_37,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564898,38,DEADP_38,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564899,39,DEADP_39,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564900,40,DEADP_40,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1089120,18564901,41,DEADP_41,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
