#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1654601,26795789,AXI77_gp02,AXI77_gp02,-,-,-,-,cytochrome c biogenesis protein,protein-coding,-,-,-,cytochrome c biogenesis protein,20201221,-
1654601,26795790,AXI77_gp03,AXI77_gp03,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654601,26795791,AXI77_gp04,AXI77_gp04,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654601,26795792,AXI77_gp05,AXI77_gp05,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654601,26795793,AXI77_gp06,AXI77_gp06,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654601,26795794,AXI77_gp07,AXI77_gp07,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654601,26795795,AXI77_gp08,AXI77_gp08,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654601,26795796,AXI77_gp09,AXI77_gp09,-,-,-,-,Zn-peptidase,protein-coding,-,-,-,Zn-peptidase,20201221,-
1654601,26795797,AXI77_gp10,AXI77_gp10,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654601,26795798,AXI77_gp11,AXI77_gp11,-,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20201221,-
1654601,26795799,AXI77_gp12,AXI77_gp12,-,-,-,-,topisomerase-primase domain,protein-coding,-,-,-,topisomerase-primase domain,20201221,-
1654601,26795800,AXI77_gp13,AXI77_gp13,-,-,-,-,putative DnaG-like primase,protein-coding,-,-,-,putative DnaG-like primase,20201221,-
1654601,26795801,AXI77_gp14,AXI77_gp14,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654601,26795802,AXI77_gp15,AXI77_gp15,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654601,26795803,AXI77_gp16,AXI77_gp16,-,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201221,-
1654601,26795804,AXI77_gp17,AXI77_gp17,-,-,-,-,P-loop NTPase,protein-coding,-,-,-,P-loop NTPase,20201221,-
1654601,26795805,AXI77_gp18,AXI77_gp18,-,-,-,-,endonuclease,protein-coding,-,-,-,endonuclease,20201221,-
