#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
2047840,64869213,KIP56_gp002,KIP56_gp002,SEA_KOKO_2,-,-,-,metalloprotease,protein-coding,-,-,-,metalloprotease,20210522,-
2047840,64869214,KIP56_gp003,KIP56_gp003,SEA_KOKO_3,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869215,KIP56_gp004,KIP56_gp004,SEA_KOKO_4,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210522,-
2047840,64869216,KIP56_gp005,KIP56_gp005,SEA_KOKO_5,-,-,-,terminase small subunit,protein-coding,-,-,-,terminase small subunit,20210514,-
2047840,64869217,KIP56_gp006,KIP56_gp006,SEA_KOKO_6,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210514,-
2047840,64869218,KIP56_gp007,KIP56_gp007,SEA_KOKO_7,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210514,-
2047840,64869219,KIP56_gp008,KIP56_gp008,SEA_KOKO_8,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210514,-
2047840,64869220,KIP56_gt001,KIP56_gt001,SEA_KOKO_9,-,-,-,tRNA,tRNA,-,-,-,-,20210514,-
2047840,64869221,KIP56_gt002,KIP56_gt002,SEA_KOKO_10,-,-,-,tRNA,tRNA,-,-,-,-,20210514,-
2047840,64869222,KIP56_gt003,KIP56_gt003,SEA_KOKO_11,-,-,-,tRNA,tRNA,-,-,-,-,20210514,-
2047840,64869223,KIP56_gp102,KIP56_gp102,SEA_KOKO_12,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869224,KIP56_gp001,KIP56_gp001,SEA_KOKO_1,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869225,KIP56_gp101,KIP56_gp101,SEA_KOKO_13,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20210514,-
2047840,64869226,KIP56_gp100,KIP56_gp100,SEA_KOKO_14,-,-,-,holin,protein-coding,-,-,-,holin,20210514,-
2047840,64869227,KIP56_gp099,KIP56_gp099,SEA_KOKO_15,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20210514,-
2047840,64869228,KIP56_gp098,KIP56_gp098,SEA_KOKO_16,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210514,-
2047840,64869229,KIP56_gp097,KIP56_gp097,SEA_KOKO_17,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20210514,-
2047840,64869230,KIP56_gp096,KIP56_gp096,SEA_KOKO_18,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20210514,-
2047840,64869231,KIP56_gp095,KIP56_gp095,SEA_KOKO_19,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210514,-
2047840,64869232,KIP56_gp094,KIP56_gp094,SEA_KOKO_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869233,KIP56_gp093,KIP56_gp093,SEA_KOKO_21,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20210522,-
2047840,64869234,KIP56_gp092,KIP56_gp092,SEA_KOKO_22,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20210514,-
2047840,64869235,KIP56_gp091,KIP56_gp091,SEA_KOKO_23,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20210514,-
2047840,64869236,KIP56_gp090,KIP56_gp090,SEA_KOKO_24,-,-,-,head-to-tail connector protein,protein-coding,-,-,-,head-to-tail connector protein,20210514,-
2047840,64869237,KIP56_gp089,KIP56_gp089,SEA_KOKO_25,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20210514,-
2047840,64869238,KIP56_gp088,KIP56_gp088,SEA_KOKO_26,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20210514,-
2047840,64869239,KIP56_gp087,KIP56_gp087,SEA_KOKO_28,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210514,-
2047840,64869240,KIP56_gp085,KIP56_gp085,SEA_KOKO_29,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20210514,-
2047840,64869241,KIP56_gp086,KIP56_gp086,SEA_KOKO_27,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20210514,-
2047840,64869242,KIP56_gp084,KIP56_gp084,SEA_KOKO_30,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210514,-
2047840,64869243,KIP56_gp083,KIP56_gp083,SEA_KOKO_31,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210514,-
2047840,64869244,KIP56_gp082,KIP56_gp082,SEA_KOKO_32,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869245,KIP56_gp081,KIP56_gp081,SEA_KOKO_33,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210514,-
2047840,64869246,KIP56_gp080,KIP56_gp080,SEA_KOKO_34,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20210514,-
2047840,64869247,KIP56_gp079,KIP56_gp079,SEA_KOKO_35,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869248,KIP56_gp078,KIP56_gp078,SEA_KOKO_36,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869249,KIP56_gp077,KIP56_gp077,SEA_KOKO_37,-,-,-,ParA-like dsDNA partitioning protein,protein-coding,-,-,-,ParA-like dsDNA partitioning protein,20210514,-
2047840,64869250,KIP56_gp076,KIP56_gp076,SEA_KOKO_38,-,-,-,ParB-like dsDNA partitioning protein,protein-coding,-,-,-,ParB-like dsDNA partitioning protein,20210514,-
2047840,64869251,KIP56_gp075,KIP56_gp075,SEA_KOKO_39,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869252,KIP56_gp074,KIP56_gp074,SEA_KOKO_40,-,-,-,deoxycytidylate deaminase,protein-coding,-,-,-,deoxycytidylate deaminase,20210514,-
2047840,64869253,KIP56_gp073,KIP56_gp073,SEA_KOKO_41,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869254,KIP56_gp072,KIP56_gp072,SEA_KOKO_42,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869255,KIP56_gp071,KIP56_gp071,SEA_KOKO_43,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869256,KIP56_gp070,KIP56_gp070,SEA_KOKO_44,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869257,KIP56_gp069,KIP56_gp069,SEA_KOKO_45,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869258,KIP56_gp068,KIP56_gp068,SEA_KOKO_46,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869259,KIP56_gp067,KIP56_gp067,SEA_KOKO_47,-,-,-,DNA polymerase I,protein-coding,-,-,-,DNA polymerase I,20210514,-
2047840,64869260,KIP56_gp066,KIP56_gp066,SEA_KOKO_48,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869261,KIP56_gp065,KIP56_gp065,SEA_KOKO_49,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869262,KIP56_gp064,KIP56_gp064,SEA_KOKO_50,-,-,-,helix-turn-helix DNA binding domain protein,protein-coding,-,-,-,helix-turn-helix DNA binding domain protein,20210514,-
2047840,64869263,KIP56_gp063,KIP56_gp063,SEA_KOKO_51,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869264,KIP56_gp062,KIP56_gp062,SEA_KOKO_52,-,-,-,ThyX-like thymidylate synthase,protein-coding,-,-,-,ThyX-like thymidylate synthase,20210514,-
2047840,64869265,KIP56_gp061,KIP56_gp061,SEA_KOKO_53,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869266,KIP56_gp060,KIP56_gp060,SEA_KOKO_54,-,-,-,HNH endonuclease,protein-coding,-,-,-,HNH endonuclease,20210514,-
2047840,64869267,KIP56_gp059,KIP56_gp059,SEA_KOKO_55,-,-,-,ribonucleotide reductase,protein-coding,-,-,-,ribonucleotide reductase,20210514,-
2047840,64869268,KIP56_gp058,KIP56_gp058,SEA_KOKO_56,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869269,KIP56_gp057,KIP56_gp057,SEA_KOKO_57,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869270,KIP56_gp056,KIP56_gp056,SEA_KOKO_58,-,-,-,DNA binding protein,protein-coding,-,-,-,DNA binding protein,20210514,-
2047840,64869271,KIP56_gp055,KIP56_gp055,SEA_KOKO_59,-,-,-,metallophosphoesterase,protein-coding,-,-,-,metallophosphoesterase,20210522,-
2047840,64869272,KIP56_gp054,KIP56_gp054,SEA_KOKO_60,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869273,KIP56_gp053,KIP56_gp053,SEA_KOKO_61,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869274,KIP56_gp052,KIP56_gp052,SEA_KOKO_62,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210514,-
2047840,64869275,KIP56_gp051,KIP56_gp051,SEA_KOKO_63,-,-,-,DNA primase,protein-coding,-,-,-,DNA primase,20210514,-
2047840,64869276,KIP56_gp050,KIP56_gp050,SEA_KOKO_64,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210514,-
2047840,64869277,KIP56_gp049,KIP56_gp049,SEA_KOKO_65,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869278,KIP56_gp048,KIP56_gp048,SEA_KOKO_66,-,-,-,endonuclease VII,protein-coding,-,-,-,endonuclease VII,20210514,-
2047840,64869279,KIP56_gp047,KIP56_gp047,SEA_KOKO_67,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210514,-
2047840,64869280,KIP56_gp046,KIP56_gp046,SEA_KOKO_68,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869281,KIP56_gp045,KIP56_gp045,SEA_KOKO_69,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869282,KIP56_gp044,KIP56_gp044,SEA_KOKO_70,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869283,KIP56_gp043,KIP56_gp043,SEA_KOKO_71,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869284,KIP56_gp042,KIP56_gp042,SEA_KOKO_72,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210514,-
2047840,64869285,KIP56_gp041,KIP56_gp041,SEA_KOKO_73,-,-,-,DnaB-like dsDNA helicase,protein-coding,-,-,-,DnaB-like dsDNA helicase,20210514,-
2047840,64869286,KIP56_gp040,KIP56_gp040,SEA_KOKO_74,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869287,KIP56_gp039,KIP56_gp039,SEA_KOKO_75,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869288,KIP56_gp038,KIP56_gp038,SEA_KOKO_76,-,-,-,membrane protein,protein-coding,-,-,-,membrane protein,20210514,-
2047840,64869289,KIP56_gp037,KIP56_gp037,SEA_KOKO_77,-,-,-,Cas4 family exonuclease,protein-coding,-,-,-,Cas4 family exonuclease,20210514,-
2047840,64869290,KIP56_gp036,KIP56_gp036,SEA_KOKO_78,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869291,KIP56_gp035,KIP56_gp035,SEA_KOKO_79,-,-,-,immunity repressor,protein-coding,-,-,-,immunity repressor,20210514,-
2047840,64869292,KIP56_gp034,KIP56_gp034,SEA_KOKO_80,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869293,KIP56_gp033,KIP56_gp033,SEA_KOKO_81,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869294,KIP56_gp032,KIP56_gp032,SEA_KOKO_82,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869295,KIP56_gp031,KIP56_gp031,SEA_KOKO_83,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
2047840,64869296,KIP56_gp030,KIP56_gp030,SEA_KOKO_84,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210514,-
