#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1450535,37107590,BO94DRAFT_100549,BO94DRAFT_100549,-,-,Unknown,-,ARF/SAR superfamily,protein-coding,-,-,-,ARF/SAR superfamily,20180721,-
1450535,37107591,BO94DRAFT_10065,BO94DRAFT_10065,-,-,Unknown,-,triglyceride lipase-cholesterol esterase,protein-coding,-,-,-,triglyceride lipase-cholesterol esterase,20181013,-
1450535,37107592,BO94DRAFT_100769,BO94DRAFT_100769,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181013,-
1450535,37107593,BO94DRAFT_101009,BO94DRAFT_101009,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107594,BO94DRAFT_101032,BO94DRAFT_101032,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107595,BO94DRAFT_101048,BO94DRAFT_101048,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181013,-
1450535,37107596,BO94DRAFT_101067,BO94DRAFT_101067,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107597,BO94DRAFT_101126,BO94DRAFT_101126,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107598,BO94DRAFT_101377,BO94DRAFT_101377,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107599,BO94DRAFT_101510,BO94DRAFT_101510,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107600,BO94DRAFT_101548,BO94DRAFT_101548,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107601,BO94DRAFT_101704,BO94DRAFT_101704,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107602,BO94DRAFT_10182,BO94DRAFT_10182,-,-,Unknown,-,ras-domain-containing protein,protein-coding,-,-,-,ras-domain-containing protein,20181013,-
1450535,37107603,BO94DRAFT_101923,BO94DRAFT_101923,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181013,-
1450535,37107604,BO94DRAFT_101928,BO94DRAFT_101928,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107605,BO94DRAFT_101929,BO94DRAFT_101929,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107606,BO94DRAFT_101958,BO94DRAFT_101958,-,-,Unknown,-,glutamyl-tRNA amidotransferase subunit B,protein-coding,-,-,-,glutamyl-tRNA amidotransferase subunit B,20181013,-
1450535,37107607,BO94DRAFT_102216,BO94DRAFT_102216,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107608,BO94DRAFT_102408,BO94DRAFT_102408,-,-,Unknown,-,putative ARID/BRIGHT domain protein,protein-coding,-,-,-,putative ARID/BRIGHT domain protein,20181013,-
1450535,37107609,BO94DRAFT_102610,BO94DRAFT_102610,-,-,Unknown,-,bZIP transcription factor AtfA,protein-coding,-,-,-,bZIP transcription factor AtfA,20181013,-
1450535,37107610,BO94DRAFT_102754,BO94DRAFT_102754,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107611,BO94DRAFT_1034,BO94DRAFT_1034,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181013,-
1450535,37107612,BO94DRAFT_103402,BO94DRAFT_103402,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107613,BO94DRAFT_103424,BO94DRAFT_103424,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20181013,-
1450535,37107614,BO94DRAFT_103584,BO94DRAFT_103584,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
1450535,37107615,BO94DRAFT_103586,BO94DRAFT_103586,-,-,Unknown,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20180712,-
