#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
1034107,40233367,2,FGG23_gp002,PBI_IBHUBESI_2,-,-,-,terminase large subunit,protein-coding,-,-,-,terminase large subunit,20201220,-
1034107,40233368,3,FGG23_gp003,PBI_IBHUBESI_3,-,-,-,portal protein,protein-coding,-,-,-,portal protein,20210406,-
1034107,40233369,4,FGG23_gp004,PBI_IBHUBESI_4,-,-,-,capsid maturation protease,protein-coding,-,-,-,capsid maturation protease,20201220,-
1034107,40233370,5,FGG23_gp005,PBI_IBHUBESI_5,-,-,-,scaffolding protein,protein-coding,-,-,-,scaffolding protein,20201220,-
1034107,40233371,6,FGG23_gp006,PBI_IBHUBESI_6,-,-,-,major capsid protein,protein-coding,-,-,-,major capsid protein,20210406,-
1034107,40233372,7,FGG23_gp007,PBI_IBHUBESI_7,-,-,-,head-to-tail adaptor,protein-coding,-,-,-,head-to-tail adaptor,20201220,-
1034107,40233373,8,FGG23_gp008,PBI_IBHUBESI_8,-,-,-,head-to-tail stopper,protein-coding,-,-,-,head-to-tail stopper,20201220,-
1034107,40233374,9,FGG23_gp009,PBI_IBHUBESI_9,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1034107,40233375,10,FGG23_gp010,PBI_IBHUBESI_10,-,-,-,tail terminator,protein-coding,-,-,-,tail terminator,20201220,-
1034107,40233376,11,FGG23_gp011,PBI_IBHUBESI_11,-,-,-,major tail protein,protein-coding,-,-,-,major tail protein,20201220,-
1034107,40233377,12,FGG23_gp012,PBI_IBHUBESI_12,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201220,-
1034107,40233378,13,FGG23_gp013,PBI_IBHUBESI_13,-,-,-,tail assembly chaperone,protein-coding,-,-,-,tail assembly chaperone,20201220,-
1034107,40233379,14,FGG23_gp014,PBI_IBHUBESI_14,-,-,-,tapemeasure protein,protein-coding,-,-,-,tapemeasure protein,20201220,-
1034107,40233380,15,FGG23_gp015,PBI_IBHUBESI_15,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233381,16,FGG23_gp016,PBI_IBHUBESI_16,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233382,17,FGG23_gp017,PBI_IBHUBESI_17,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201220,-
1034107,40233383,18,FGG23_gp018,PBI_IBHUBESI_18,-,-,-,minor tail protein,protein-coding,-,-,-,minor tail protein,20201220,-
1034107,40233384,19,FGG23_gp019,PBI_IBHUBESI_19,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233385,20,FGG23_gp020,PBI_IBHUBESI_20,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233386,21,FGG23_gp021,PBI_IBHUBESI_21,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233387,22,FGG23_gp022,PBI_IBHUBESI_22,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233388,23,FGG23_gp023,PBI_IBHUBESI_23,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233389,24,FGG23_gp024,PBI_IBHUBESI_24,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233390,25,FGG23_gp025,PBI_IBHUBESI_25,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210406,-
1034107,40233391,26,FGG23_gp026,PBI_IBHUBESI_26,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233392,27,FGG23_gp027,PBI_IBHUBESI_27,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233393,28,FGG23_gp028,PBI_IBHUBESI_28,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233394,29,FGG23_gp029,PBI_IBHUBESI_29,-,-,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201220,-
1034107,40233395,30,FGG23_gp030,PBI_IBHUBESI_30,-,-,-,lysin A,protein-coding,-,-,-,lysin A,20201220,-
