#tax_id,GeneID,Symbol,LocusTag,Synonyms,dbXrefs,chromosome,map_location,description,type_of_gene,Symbol_from_nomenclature_authority,Full_name_from_nomenclature_authority,Nomenclature_status,Other_designations,Modification_date,Feature_type
81056,59143074,nad1,IGW18_mgp02,-,-,MT,-,NADH dehydrogenase subunit 1,protein-coding,-,-,-,NADH dehydrogenase subunit 1,20210529,-
81056,59143075,orf2,IGW18_mgp03,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
81056,59143076,orf3,IGW18_mgp04,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
81056,59143077,IGW18_mgt01,IGW18_mgt01,-,-,MT,-,tRNA,tRNA,-,-,-,-,20201010,-
81056,59143078,orf4,IGW18_mgp45,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
81056,59143079,orf5,IGW18_mgp44,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201010,-
81056,59143080,IGW18_mgt03,IGW18_mgt03,-,-,MT,-,tRNA,tRNA,-,-,-,-,20201010,-
81056,59143081,atp9,IGW18_mgp42,-,-,MT,-,ATP synthase F0 subunit c,protein-coding,-,-,-,ATP synthase F0 subunit c,20210529,-
81056,59143082,orf7,IGW18_mgp41,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201010,-
81056,59143083,orf8,IGW18_mgp40,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201010,-
81056,59143084,orf9,IGW18_mgp39,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201010,-
81056,59143085,IGW18_mgr02,IGW18_mgr02,-,-,MT,-,large subunit ribosomal RNA,rRNA,-,-,-,-,20201010,-
81056,59143086,orf10,IGW18_mgp37,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201010,-
81056,59143087,IGW18_mgt04,IGW18_mgt04,-,-,MT,-,tRNA,tRNA,-,-,-,-,20201010,-
81056,59143088,orf12,IGW18_mgp35,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201010,-
81056,59143089,rps3,IGW18_mgp34,-,-,MT,-,ribosomal protein S3,protein-coding,-,-,-,ribosomal protein S3,20201010,-
81056,59143090,IGW18_mgt07,IGW18_mgt07,-,-,MT,-,tRNA,tRNA,-,-,-,-,20201010,-
81056,59143091,orf14,IGW18_mgp32,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201010,-
81056,59143092,atp6,IGW18_mgp31,-,-,MT,-,ATP synthase F0 subunit a,protein-coding,-,-,-,ATP synthase F0 subunit a,20210529,-
81056,59143093,IGW18_mgt10,IGW18_mgt10,-,-,MT,-,tRNA,tRNA,-,-,-,-,20201010,-
81056,59143094,orf16,IGW18_mgp29,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
81056,59143095,cox2,IGW18_mgp28,-,-,MT,-,cytochrome c oxidase subunit 2,protein-coding,-,-,-,cytochrome c oxidase subunit 2,20210529,-
81056,59143096,orf17,IGW18_mgp27,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
81056,59143097,orf18,IGW18_mgp26,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
81056,59143098,IGW18_mgt11,IGW18_mgt11,-,-,MT,-,tRNA,tRNA,-,-,-,-,20201010,-
81056,59143099,orf19,IGW18_mgp24,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
81056,59143100,orf20,IGW18_mgp23,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
81056,59143101,orf21,IGW18_mgp22,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
81056,59143102,orf22,IGW18_mgp21,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
81056,59143103,nad4L,IGW18_mgp20,-,-,MT,-,NADH dehydrogenase subunit 4L,protein-coding,-,-,-,NADH dehydrogenase subunit 4L,20210529,-
81056,59143104,cox3,IGW18_mgp19,-,-,MT,-,cytochrome c oxidase subunit 3,protein-coding,-,-,-,cytochrome c oxidase subunit 3,20210529,-
81056,59143105,IGW18_mgt12,IGW18_mgt12,-,-,MT,-,tRNA,tRNA,-,-,-,-,20201010,-
81056,59143106,nad2,IGW18_mgp17,-,-,MT,-,NADH dehydrogenase subunit 2,protein-coding,-,-,-,NADH dehydrogenase subunit 2,20210529,-
81056,59143107,orf23,IGW18_mgp16,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
81056,59143108,orf24,IGW18_mgp15,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201010,-
81056,59143109,cox1,IGW18_mgp14,-,-,MT,-,cytochrome c oxidase subunit 1,protein-coding,-,-,-,cytochrome c oxidase subunit 1,20210529,-
81056,59143110,orf25,IGW18_mgp13,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201010,-
81056,59143111,orf26,IGW18_mgp12,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201010,-
81056,59143112,orf27,IGW18_mgp11,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
81056,59143113,orf28,IGW18_mgp10,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
81056,59143114,orf29,IGW18_mgp09,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
81056,59143115,IGW18_mgt13,IGW18_mgt13,-,-,MT,-,tRNA,tRNA,-,-,-,-,20201010,-
81056,59143116,orf30,IGW18_mgp07,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201010,-
81056,59143117,IGW18_mgt14,IGW18_mgt14,-,-,MT,-,tRNA,tRNA,-,-,-,-,20201010,-
81056,59143118,IGW18_mgt23,IGW18_mgt23,-,-,MT,-,tRNA,tRNA,-,-,-,-,20201010,-
81056,59143119,IGW18_mgt27,IGW18_mgt27,-,-,MT,-,tRNA,tRNA,-,-,-,-,20201010,-
81056,59143120,IGW18_mgt02,IGW18_mgt02,-,-,MT,-,tRNA,tRNA,-,-,-,-,20201010,-
81056,59143121,cob,IGW18_mgp46,-,-,MT,-,apocytochrome b,protein-coding,-,-,-,apocytochrome b,20210529,-
81056,59143122,orf6,IGW18_mgp43,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201010,-
81056,59143123,nad6,IGW18_mgp38,-,-,MT,-,NADH dehydrogenase subunit 6,protein-coding,-,-,-,NADH dehydrogenase subunit 6,20210529,-
81056,59143124,IGW18_mgt05,IGW18_mgt05,-,-,MT,-,tRNA,tRNA,-,-,-,-,20201010,-
81056,59143125,IGW18_mgt06,IGW18_mgt06,-,-,MT,-,tRNA,tRNA,-,-,-,-,20201010,-
81056,59143126,orf11,IGW18_mgp36,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201010,-
81056,59143127,IGW18_mgt08,IGW18_mgt08,-,-,MT,-,tRNA,tRNA,-,-,-,-,20201010,-
81056,59143128,IGW18_mgt09,IGW18_mgt09,-,-,MT,-,tRNA,tRNA,-,-,-,-,20201010,-
81056,59143129,orf13,IGW18_mgp33,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201010,-
81056,59143130,orf15,IGW18_mgp30,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
81056,59143131,nad5,IGW18_mgp25,-,-,MT,-,NADH dehydrogenase subunit 5,protein-coding,-,-,-,NADH dehydrogenase subunit 5,20210529,-
81056,59143132,nad3,IGW18_mgp18,-,-,MT,-,NADH dehydrogenase subunit 3,protein-coding,-,-,-,NADH dehydrogenase subunit 3,20210529,-
81056,59143133,atp8,IGW18_mgp08,-,-,MT,-,ATP synthase F0 subunit 8,protein-coding,-,-,-,ATP synthase F0 subunit 8,20210529,-
81056,59143134,IGW18_mgt15,IGW18_mgt15,-,-,MT,-,tRNA,tRNA,-,-,-,-,20201010,-
81056,59143135,IGW18_mgt16,IGW18_mgt16,-,-,MT,-,tRNA,tRNA,-,-,-,-,20201010,-
81056,59143136,IGW18_mgt17,IGW18_mgt17,-,-,MT,-,tRNA,tRNA,-,-,-,-,20201010,-
81056,59143137,IGW18_mgt18,IGW18_mgt18,-,-,MT,-,tRNA,tRNA,-,-,-,-,20201010,-
81056,59143138,IGW18_mgt19,IGW18_mgt19,-,-,MT,-,tRNA,tRNA,-,-,-,-,20201010,-
81056,59143139,IGW18_mgt20,IGW18_mgt20,-,-,MT,-,tRNA,tRNA,-,-,-,-,20201010,-
81056,59143140,IGW18_mgt21,IGW18_mgt21,-,-,MT,-,tRNA,tRNA,-,-,-,-,20201010,-
81056,59143141,IGW18_mgt22,IGW18_mgt22,-,-,MT,-,tRNA,tRNA,-,-,-,-,20201010,-
81056,59143142,orf31,IGW18_mgp06,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20201010,-
81056,59143143,IGW18_mgt24,IGW18_mgt24,-,-,MT,-,tRNA,tRNA,-,-,-,-,20201010,-
81056,59143144,IGW18_mgt25,IGW18_mgt25,-,-,MT,-,tRNA,tRNA,-,-,-,-,20201010,-
81056,59143145,IGW18_mgt26,IGW18_mgt26,-,-,MT,-,tRNA,tRNA,-,-,-,-,20201010,-
81056,59143146,IGW18_mgr01,IGW18_mgr01,-,-,MT,-,small subunit ribosomal RNA,rRNA,-,-,-,-,20201010,-
81056,59143147,nad4,IGW18_mgp05,-,-,MT,-,NADH dehydrogenase subunit 4,protein-coding,-,-,-,NADH dehydrogenase subunit 4,20210529,-
81056,59143148,IGW18_mgt28,IGW18_mgt28,-,-,MT,-,tRNA,tRNA,-,-,-,-,20201010,-
81056,59143149,orf1,IGW18_mgp01,-,-,MT,-,hypothetical protein,protein-coding,-,-,-,hypothetical protein,20210529,-
